IPC Section,Name,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
64,Imprisonment for non-payment of fine,Imprisonment may be imposed if fine not paid,As per terms of court,Depends on primary offence,Depends on primary offence,Default Punishment
65,Limit to imprisonment when both fine and imprisonment are awarded,Imprisonment for default of fine should not exceed 1/4th of max imprisonment,Not Applicable,Not Applicable,Not Applicable,Sentencing Rules
66,Description of imprisonment for non-payment of fine,Imprisonment type (rigorous/simple) depends on type of primary offence,Not Applicable,Not Applicable,Not Applicable,Sentencing Rules
67,Imprisonment for default when offence punishable with fine only,May be simple imprisonment up to certain durations,Up to 2 months to 6 months based on fine amount,Not Applicable,Not Applicable,Default Punishment
68,Termination of imprisonment on payment,Imprisonment ends once fine is paid,Not Applicable,Not Applicable,Not Applicable,Sentencing Relief
69,Termination on proportional payment,Partial payment leads to proportional reduction in sentence,Not Applicable,Not Applicable,Not Applicable,Sentencing Relief
70,Fine recoverable for 6 years or during imprisonment,Fine enforceable within 6 years or while convict is in prison,Not Applicable,Not Applicable,Not Applicable,Recovery Provisions
71,Limit of punishment for compound offences,Offender shall not be punished for more than the maximum of the gravest offence,Not Applicable,Not Applicable,Not Applicable,Sentencing Limit
72,Doubt in judgmentnot specifiedguilty of one of several offences,Minimum punishment among doubtful offences applied,Not Applicable,Not Applicable,Not Applicable,Sentencing Limit
73,Solitary confinement,Allowed in case of rigorous imprisonment not exceeding 3 months,Max 3 months in total,Not Applicable,Not Applicable,Sentencing Type
74,Limit of solitary confinement,"Max 14 days at a time, intervals of at least 14 days, not >3 months in total",Not Applicable,Not Applicable,Not Applicable,Sentencing Rules
75,Enhanced punishment for repeat offenders,"If convicted again under Chapters XII or XVII, may face enhanced punishment",Enhanced punishment,Depends on underlying offence,Depends on underlying offence,Habitual Offenders
76,Act done by person bound or by mistake of fact believing himself bound by law,No offence if act done under legal compulsion or mistake of fact believing so,Not Applicable,Not Applicable,Not Applicable,General Exception
77,Act of Judge acting judicially,No offence if Judge acts judicially in good faith,Not Applicable,Not Applicable,Not Applicable,General Exception
78,Act done under Court judgment/order,No offence for acts done under Court orders in good faith,Not Applicable,Not Applicable,Not Applicable,General Exception
79,Act justified or by mistake of fact believing so,No offence if act done justified by law or believed to be so by mistake of fact,Not Applicable,Not Applicable,Not Applicable,General Exception
80,Accident in doing lawful act,No offence if harm caused by accident while doing lawful act with proper care,Not Applicable,Not Applicable,Not Applicable,General Exception
81,Act likely to cause harm to prevent greater harm,No offence if act done without criminal intent to prevent other harm,Not Applicable,Not Applicable,Not Applicable,General Exception
82,Act of child under 7 years,No offence,Not Applicable,Not Applicable,Not Applicable,General Exception
83,Act of child 7–12 of immature understanding,No offence if child lacks sufficient maturity,Not Applicable,Not Applicable,Not Applicable,General Exception
84,Act of unsound mind,No offence,Not Applicable,Not Applicable,Not Applicable,General Exception
85,Act by intoxication against will,No offence if incapable of judgment due to involuntary intoxication,Not Applicable,Not Applicable,Not Applicable,General Exception
86,Offence requiring intent by intoxicated person,Knowledge attributed; intent not presumed,Not Applicable,Not Applicable,Not Applicable,General Exception
87,Act not intended to cause death or grievous hurt done by consent,No offence,Not Applicable,Not Applicable,Not Applicable,General Exception
88,Act done by consent for person’s benefit,No offence if act done in good faith with consent for benefit,Not Applicable,Not Applicable,Not Applicable,General Exception
89,Act for benefit of child or insane person by/with guardian consent,No offence (with provisos),Not Applicable,Not Applicable,Not Applicable,General Exception
90,Consent under fear/misconception/insanity/child,Such consent invalid,Not Applicable,Not Applicable,Not Applicable,General Exception
91,Acts independently offences,No exception where act is offence apart from harm caused,Not Applicable,Not Applicable,Not Applicable,General Exception
92,Act for benefit without consent,No offence if done in good faith (with provisos),Not Applicable,Not Applicable,Not Applicable,General Exception
93,Communication in good faith,No offence if communication made in good faith,Not Applicable,Not Applicable,Not Applicable,General Exception
94,Compulsion by threats,"No offence for acts under threat, except murder/offences against State",Not Applicable,Not Applicable,Not Applicable,General Exception
95,Slight harm,No offence if harm is trivial,Not Applicable,Not Applicable,Not Applicable,General Exception
96,Things done in private defence,No offence,Not Applicable,Not Applicable,Not Applicable,Private Defence
97,Right of private defence of body/property,Defines right,Not Applicable,Not Applicable,Not Applicable,Private Defence
98,Right against act of unsound mind person etc.,Same right as against sane person,Not Applicable,Not Applicable,Not Applicable,Private Defence
99,"No right against certain acts, limits to defence",Defines limitations,Not Applicable,Not Applicable,Not Applicable,Private Defence
100,Private defence of body extends to causing death,Lists circumstances where death may be caused,Not Applicable,Not Applicable,Not Applicable,Private Defence
101,Right to cause harm other than death,Defines scope where death not justified,Not Applicable,Not Applicable,Not Applicable,Private Defence
102,Commencement/continuance of defence of body,When defence begins and continues,Not Applicable,Not Applicable,Not Applicable,Private Defence
103,Private defence of property extends to causing death,Lists when death may be caused,Not Applicable,Not Applicable,Not Applicable,Private Defence
104,Right to cause harm other than death in defence of property,When other harm allowed,Not Applicable,Not Applicable,Not Applicable,Private Defence
105,Commencement/continuance of defence of property,When defence begins and continues,Not Applicable,Not Applicable,Not Applicable,Private Defence
106,Right against deadly assault with risk to innocent,Permits risk to innocent if necessary for defence,Not Applicable,Not Applicable,Not Applicable,Private Defence
107,Abetment of a thing,"Instigating, engaging in conspiracy, or intentionally aiding a person to commit an offence",Based on abetted offence,Depends on abetted offence,Depends on abetted offence,Abetment
108,Abettor,Defines abettor as a person who abets offence,Not Applicable,Not Applicable,Not Applicable,Definition
108A,Abetment in India of offences outside India,"If act would be offence in India, abettor is liable",Based on abetted offence,Depends on abetted offence,Depends on abetted offence,Abetment
109,Punishment if act abetted is committed and no separate provision exists,Same as for abetted offence,Same as offence abetted,Depends on abetted offence,Depends on abetted offence,Abetment
110,Abetment when abetted person acts with different intention,Abettor still liable,Same as for abetted offence,Depends on abetted offence,Depends on abetted offence,Abetment
111,Liability when different act done than abetted,Liable if likely consequence,Punishment for act done,Depends on act done,Depends on act done,Abetment
112,Cumulative punishment for act abetted and act done,Liable for both,Combined punishment,Depends on offences,Depends on offences,Abetment
113,Liability for unintended consequence,Abettor liable for the effect caused,As per outcome,Depends on outcome,Depends on outcome,Abetment
114,Abettor present when offence committed,Treated as principal offender,Same as principal offender,Depends on offence,Depends on offence,Abetment
115,"Abetment of offence punishable with death/life imprisonment, if not committed","Up to 7 years + fine; if act causes harm, up to 14 years + fine",7 or 14 years + fine,Non-Bailable,Cognizable,Abetment
116,"Abetment of offence punishable with imprisonment, if not committed",One-fourth of max term for offence + fine; higher if abettor is public servant,Varies,Bailable,Cognizable,Abetment
117,Abetting offence by public or >10 persons,Up to 3 years + fine,3 years + fine,Bailable,Cognizable,Abetment
118,Concealing design to commit offence punishable with death/life imprisonment,Up to 7 years + fine if offence committed; 3 years + fine if not,3 or 7 years + fine,Non-Bailable,Cognizable,Concealment
119,Public servant concealing design of offence it’s his duty to prevent,"If offence committed: 7 years (if punishable with death/life), else 1/2 of offender’s term; if not committed: 1/4 + fine",Varies,Non-Bailable,Cognizable,Concealment
120,Concealing design to commit offence punishable with imprisonment,If offence committed: 1/4 of punishment; if not: fine or up to 1/8 of punishment,Varies,Bailable,Non-Cognizable,Concealment
120A,Definition of criminal conspiracy,When two or more persons agree to do an illegal act or a legal act by illegal means. Mere agreement is sufficient to constitute conspiracy for illegal acts.,Not Applicable (Definition only),Not Applicable,Not Applicable,Criminal Conspiracy
120B,Punishment of criminal conspiracy,"- If the conspiracy is to commit an offence punishable with death, life imprisonment or rigorous imprisonment ≥ 2 years: same as for the offence. - In other cases: up to 6 months + fine or both.",Same as abetted offence or up to 6 months + fine,Serious: Non-Bailable; Minor: Bailable,Serious: Cognizable; Minor: Non-Cognizable,Criminal Conspiracy
121,Waging war against the Government of India,"Waging, attempting to wage, or abetting war against India",Death or life imprisonment + fine,Non-Bailable,Cognizable,Offences Against the State
121A,Conspiracy to commit offences punishable by Section 121,Conspiring to wage war or overawe the government by criminal force,Life imprisonment or up to 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
122,Collecting arms with intent to wage war,"Collecting men, arms, or ammunition to wage war",Life imprisonment or 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
123,Concealing design to wage war,Intent to facilitate war against India by concealment,Up to 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
124,Assaulting President or Governor to compel/restrain lawful power,Using force to influence or restrict constitutional authority,Up to 7 years + fine,Non-Bailable,Cognizable,Offences Against the State
124A,Sedition,"Bringing or attempting to bring hatred, contempt, or disaffection toward the government by words, signs, or writing",Life imprisonment + fine or 3 years + fine or fine,Non-Bailable,Cognizable,Offences Against the State
125,Waging war against an Asiatic power allied with India,Similar to Section 121 but against foreign ally,Life imprisonment or 7 years + fine,Non-Bailable,Cognizable,Offences Against the State
126,Depredation on territories at peace with India,Robbery/violence in territories of friendly powers,Up to 7 years + fine + forfeiture,Non-Bailable,Cognizable,Offences Against the State
127,Receiving property taken during such war/depredation,Knowingly receiving property captured in acts under 125 or 126,Up to 7 years + fine + forfeiture,Non-Bailable,Cognizable,Offences Against the State
128,Public servant voluntarily allowing prisoner of war/state to escape,Intentional act by public servant,Life imprisonment or up to 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
129,Public servant negligently allowing escape,Negligence in duty leading to escape,Up to 2 years + fine,Bailable,Cognizable,Offences Against the State
130,"Aiding escape, rescuing or harbouring prisoner of war/state",Knowingly helping escape or concealing such persons,Life imprisonment or up to 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
131,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty","Inciting or trying to persuade a soldier, sailor, or airman to revolt or disobey duty","Life imprisonment or imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,"Offences relating to the Army, Navy and Air Force"
132,"Abetment of mutiny, if mutiny is committed in consequence",Abetting mutiny which actually occurs due to such abetment,"Death or life imprisonment, or imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,"Offences relating to the Army, Navy and Air Force"
133,"Abetment of assault by soldier, sailor or airman on his superior officer when in execution of his office",Aiding or instigating a soldier/sailor/airman to assault their superior officer,"Imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,"Offences relating to the Army, Navy and Air Force"
134,"Abetment of such assault, if the assault is committed",If the assault mentioned in Section 133 is actually committed,Same as Section 133: Up to 10 years and fine,Non-Bailable,Cognizable,"Offences relating to the Army, Navy and Air Force"
135,"Abetment of desertion of soldier, sailor or airman",Helping or encouraging military personnel to desert service,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
136,Harbouring deserter,Knowingly sheltering a deserter from the armed forces,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
137,Deserter concealed on board merchant vessel through negligence of master,Ship master negligently concealing a deserter,Fine up to ₹500,Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
138,"Abetment of act of insubordination by soldier, sailor or airman",Instigating or helping military personnel to disobey superiors,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
139,Persons subject to certain Acts,Clarifies IPC application to persons governed by military/naval laws,Not a penal section,Not Specified,Not Specified,"Offences relating to the Army, Navy and Air Force"
140,"Wearing garb or carrying token used by soldier, sailor or airman",Unauthorized use of military uniforms or marks,"Imprisonment up to 3 months, or fine up to ₹500, or both",Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
141,Unlawful assembly,Assembly of 5+ persons with a common unlawful object,Not penal; defines the term,Not Specified,Not Specified,Offences Against Public Tranquillity
142,Being member of unlawful assembly,Joining or continuing in unlawful assembly,Not penal; defines membership,Not Specified,Not Specified,Offences Against Public Tranquillity
143,Punishment for unlawful assembly,Being a member of unlawful assembly,"Imprisonment up to 6 months, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
144,Joining unlawful assembly armed with deadly weapon,Participating with a deadly weapon,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
145,"Joining or continuing in unlawful assembly, knowing it is ordered to disperse",Defying lawful command to disperse,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
146,Rioting,Use of force or violence by unlawful assembly,Not penal; defines offence,Not Specified,Not Specified,Offences Against Public Tranquillity
147,Punishment for rioting,Participation in rioting,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
148,Rioting armed with deadly weapon,Participation in rioting with weapon,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
149,Offence by member of unlawful assembly,Member held guilty of offence committed by assembly in pursuit of common object,Punishment as per committed offence,Depends on offence,Depends on offence,Offences Against Public Tranquillity
150,Hiring persons for unlawful assembly,Hiring/encouraging people to join unlawful assembly,Same as for member of unlawful assembly,Bailable,Cognizable,Offences Against Public Tranquillity
151,Knowingly joining assembly commanded to disperse,Continuing after command to disperse,"Imprisonment up to 6 months, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
152,Assaulting public servant suppressing riot,Obstructing public servant during riot control,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
153,Wantonly giving provocation to cause riot,Provoking with intent to riot,If riot committed: 1 year or fine or both; if not: 6 months or fine or both,Bailable,Non-Cognizable,Offences Against Public Tranquillity
153A,Promoting enmity between groups,"On religion, caste, language, etc.","Up to 3 years or 5 years (if in place of worship), and fine",Non-Bailable,Cognizable,Offences Against Public Tranquillity
153AA,Carrying arms in procession or mass training,Arms in processions/drills,"Imprisonment up to 3 years, and fine",Non-Bailable,Cognizable,Offences Against Public Tranquillity
153B,Imputations against national integration,Speech or writing prejudicial to integration,"Up to 3 years or 5 years, and fine",Non-Bailable,Cognizable,Offences Against Public Tranquillity
154,Owner of land where unlawful assembly held,Landowner’s liability for unlawful gathering,Same punishment as for unlawful assembly,Bailable,Cognizable,Offences Against Public Tranquillity
155,Beneficiary of riot,If riot is committed for another’s benefit,Same punishment as rioter,Bailable,Cognizable,Offences Against Public Tranquillity
156,Agent of beneficiary of riot,Agent responsible for facilitating riot,Same punishment as rioter,Bailable,Cognizable,Offences Against Public Tranquillity
157,Harbouring persons hired for unlawful assembly,Providing shelter to hired rioters,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,Offences Against Public Tranquillity
158,Being hired to take part in unlawful assembly or riot or to go armed,Accepting hire to riot or bear arms,"Imprisonment up to 6 months, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
159,Affray,Fighting in public causing disturbance,Not penal; defines affray,Not Specified,Not Specified,Offences Against Public Tranquillity
160,Punishment for affray,Engaging in affray,"Imprisonment up to 1 month, or fine up to ₹100, or both",Bailable,Non-Cognizable,Offences Against Public Tranquillity
166,"Public servant disobeying law, with intent to cause injury",Knowingly disobeying legal obligation to cause injury,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
166A,Public servant disobeying direction under law,"Especially in investigation of offences against women (e.g., rape, etc.)","Rigorous imprisonment 6 months to 2 years, and fine",Non-Bailable,Cognizable,Of Offences by or Relating to Public Servants
166B,Punishment for non-treatment of victim,Hospital personnel not providing free medical treatment to rape or acid attack victim,"Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,Of Offences by or Relating to Public Servants
167,Public servant framing incorrect document with intent to cause injury,Willfully framing wrong record or writing,"Imprisonment up to 3 years, or fine, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
168,Public servant unlawfully engaging in trade,Public servant involved in trade while in service,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
169,Public servant unlawfully buying or bidding for property,Bidding/purchasing property without authority,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
170,Personating a public servant,Pretending to be a public servant to gain advantage,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Of Offences by or Relating to Public Servants
171,Wearing garb or carrying token used by public servant with fraudulent intent,Fraudulent imitation of appearance of public servant,"Imprisonment up to 3 months, or fine up to ₹500, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
171A,"“Candidate”, “Electoral right” defined",Defines the terms: candidate and electoral right,Not a penal section,Not Specified,Not Specified,Offences Relating to Elections
171B,Bribery,Giving or accepting gratification to influence election results,Not penal itself; see Section 171E for punishment,Not Specified,Not Specified,Offences Relating to Elections
171C,Undue influence at elections,Interference with free exercise of electoral rights,Not penal itself; see Section 171F for punishment,Not Specified,Not Specified,Offences Relating to Elections
171D,Personation at elections,Voting or attempting to vote in another's name,Not penal itself; see Section 171F for punishment,Not Specified,Not Specified,Offences Relating to Elections
171E,Punishment for bribery,Bribery at elections,"Imprisonment up to 1 year, or fine, or both; if treating (food/drinks), then fine only",Bailable,Non-Cognizable,Offences Relating to Elections
171F,Punishment for undue influence or personation,Committing undue influence or impersonation during elections,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Offences Relating to Elections
171G,False statement in connection with an election,Publishing false statements about a candidate’s character,Fine only,Bailable,Non-Cognizable,Offences Relating to Elections
171H,Illegal payments in connection with an election,Unauthorized election expenses without candidate’s permission,Fine up to ₹500,Bailable,Non-Cognizable,Offences Relating to Elections
171-I,Failure to keep election accounts,Not maintaining required record of election expenses,Fine up to ₹500,Bailable,Non-Cognizable,Offences Relating to Elections
172,Absconding to avoid service of summons,Intentionally avoiding summons or legal process,"Imprisonment up to 1 month (6 months if in criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
173,Preventing service or publication,Obstructing lawful delivery of summons or public notice,"Imprisonment up to 1 month (6 months if in criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
174,Non-attendance in obedience to order,Failure to attend as required by legal summons,"Imprisonment up to 1 month (6 months if in criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
174A,Non-appearance under CrPC §82,Failure to appear as declared a proclaimed offender,"Imprisonment up to 3 years, and fine (7 years if declared offender)",Non-Bailable,Cognizable,Contempts of the Lawful Authority
175,Omission to produce document,Refusing to produce documents legally bound to produce,"Imprisonment up to 1 month (6 months if criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
176,Omission to give notice/info,Failure to give legally required information,"Imprisonment up to 1 month (6 months if criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
177,Furnishing false information,Giving false information to public servant,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
178,Refusing oath or affirmation,Refusing to take oath when legally required,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
179,Refusing to answer questions,Refusal to answer when bound to state the truth,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
180,Refusing to sign statement,Legally required signature refused,"Imprisonment up to 3 months, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
181,False statement on oath,Making a false statement under oath to public servant,"Imprisonment up to 3 years, and fine",Bailable,Non-Cognizable,Contempts of the Lawful Authority
182,False information to public servant,False report to cause injury via misuse of power,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
183,Resistance to lawful property seizure,Preventing lawful seizure of property,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
184,Obstructing property sale,Hindering official auction or sale by public servant,"Imprisonment up to 1 month, or fine up to ₹200, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
185,Illegal bid or purchase at official sale,Unlawfully bidding in government-authorized sale,"Imprisonment up to 1 month, or fine up to ₹200, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
186,Obstructing public servant,Voluntarily obstructing public servant during duty,"Imprisonment up to 3 months, or fine up to ₹500, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
187,Omission to assist public servant,Failure to assist public servant when bound by law,"Imprisonment up to 1 month, or fine up to ₹200, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
188,Disobedience to order by public servant,Violating lawful order from public servant,"Simple imprisonment up to 1 month and/or ₹200 fine (6 months/₹1,000 if danger caused)",Bailable,"Cognizable (if danger), otherwise Non-Cognizable",Contempts of the Lawful Authority
189,Threat of injury to public servant,Threatening injury to deter lawful actions,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
190,Threat to deter person from seeking public protection,Threatening someone to stop them from approaching a public servant,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
191,Giving false evidence,Making a false statement under oath,Not penal (defines offence),Not Specified,Not Specified,False Evidence & Public Justice
192,Fabricating false evidence,Creating false documents/statements to mislead,Not penal (defines offence),Not Specified,Not Specified,False Evidence & Public Justice
193,Punishment for false evidence,Giving or fabricating false evidence,Imprisonment up to 7 years and fine (3 years in other proceedings),Bailable,Non-Cognizable,False Evidence & Public Justice
