IPC Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
28,Definitions,He gave me fake notes,This passport is duplicate,That medicine was a copy,He sold us a counterfeit gold chain,I got a fake Aadhaar card,The mark on the packet is not original,The document had a fake seal,He stamped it to look like real,"That’s a duplicate mark, not original",He made fake college certificate
29,Definitions,What counts as a document?,Is handwritten paper a legal document?,Can SMS be used as document in case?,He made a fake agreement on plain paper,Is rent receipt a document?,Does signed letter count as proof?,My brother gave false property document,Are digital printouts counted in law?,I lost my ID paper—can police file case?,He gave fake property papers
29A,Definitions,Can phone screenshot be used in case?,Is WhatsApp chat a legal proof?,Is PDF file counted as evidence?,Are photos and videos documents in law?,Is email valid in court?,My Aadhaar e-copy is enough?,Can voice note be a record?,He forged an e-signature,He sent fake e-document,That file was sent online only
30,Definitions,What is valuable security in IPC?,Is fixed deposit certificate a valuable paper?,He took my signed cheque,Is insurance bond covered in this?,He faked my LIC bond,He took loan on my property paper,My will was stolen,Is signed stamp paper included?,What if someone forges court decree?,He changed nominee in policy secretly
31,Definitions,What is a will in legal terms?,My father wrote a paper for property before death,Is handwritten will valid in India?,Can I make a will without lawyer?,He changed his will just before dying,My uncle gave all property in a secret will,Is oral will accepted in law?,Someone forged my father's will,What if a will is not registered?,He gave house to someone in his will
32,Explanation,"He didn’t act, but still caused loss",Can someone be punished for not doing anything?,What if a doctor doesn’t treat in emergency?,He didn't stop the crime even after seeing it,Can omission be a crime in IPC?,Is not helping someone a punishable act?,What if servant doesn’t lock gate and theft happens?,Can police act on someone who did nothing?,"My boss ignored safety rule, people got hurt",He knew but stayed silent—can case be filed?
33,Definitions,What is an act or omission in IPC?,Can not doing something be a crime?,Is sleeping on duty a crime?,"If he forgets to inform, is it punishable?",Is delay also an offence under IPC?,What’s the meaning of omission in law?,My watchman did nothing during theft,Is refusing to testify a legal omission?,Can inaction be treated like crime?,What counts as illegal act in IPC?
34,Constructive Liability,They all beat him together,Three people planned and robbed my shop,They were in group but only one hit me,All friends helped in murder,He didn’t stab but he was holding the man,They all went together with weapons,"He drove the bike, other one snatched chain",Can all friends be punished for one crime?,"One did crime, but others helped—what to do?",He was standing guard outside—still guilty?
35,Constructive Liability,He knew it was wrong but still did it,He intended to hurt and he did,He had full knowledge it was illegal,He planned it knowingly,My brother joined knowing they would rob,He was aware of crime and still took part,They went with full intention,"He did it on purpose, knowing consequences","He had knowledge, not accident",He helped even after knowing it was a crime
36,Constructive Liability,He didn’t act fully but didn’t stop the crime,Part of the harm was because he did nothing,He left the door open knowingly,"He didn’t inform, and theft happened","My employee didn’t follow safety, fire broke out","One acted, the other didn’t act, both responsible",He didn’t stop it and damage happened,Part of incident was due to not acting,They didn’t close gas line—led to accident,"My servant didn’t lock properly, and burglary happened"
37,Constructive Liability,They each did different parts of same crime,"One held him, one stabbed him","One stole, other sold",All helped in different ways,He didn’t hit but helped in carrying stolen goods,He was lookout while the other committed theft,All did some part in crime,"One paid money, one arranged tools",They cooperated in murder in different roles,He didn’t kill but arranged the weapon
38,Constructive Liability,They all did it together but did different crimes,"One committed murder, other looted",They acted together but did different offences,"One raped, other only filmed","One bribed, one threatened",One committed more serious crime,"Two accused, but one had worse intention",They were present but crimes were different,"One did minor act, other did major crime","One person was more guilty, but both were caught"
39,Definitions,He did it on his own will,"No one forced him, still he did wrong",He hit my brother knowingly,He gave bribe voluntarily,He admitted he did it by choice,He wanted to do it and he did,"No one told him, still he took money",He did crime by himself,He joined them out of choice,He went to steal with his own planning
40,Definitions,What counts as an offence in IPC?,Is stealing an offence under this law?,Is slapping a police an offence?,Beating wife is offence or not?,Is abusing online an offence?,He cheated me—is it offence?,I didn't know it's an offence,Is driving without license counted as offence?,My neighbor abused in public—is it a crime?,What is considered offence in Indian law?
41,Definitions,What is a special law in India?,Is SC/ST Act a special law?,Is POCSO a special law?,Dowry Act is special law?,Special law means more serious law?,Are cyber laws special laws?,How is special law different from IPC?,What is considered outside IPC?,Do women laws fall under special laws?,Special law gives more punishment?
42,Definitions,What is a local law?,Is state rule same as local law?,Are village panchayat rules local laws?,MCD rule is local law?,My town has its own noise rule—is that local law?,Is municipal fine part of local law?,Can local law overrule IPC?,Is traffic rule by city police a local law?,Are housing society rules local laws?,Who makes local laws in villages?
43,Definitions,Is this thing illegal or just wrong?,He says he wasn’t legally bound—is it true?,Is not helping accident victim illegal?,I thought it was not illegal—am I guilty?,What is “legally bound to do” in IPC?,Am I in trouble if I break society rule?,Is it illegal if law doesn't mention it?,I didn’t know it's illegal—is that excuse?,Can someone be punished for not doing something?,Not stopping a crime—am I legally responsible?
44,Definitions,My hand got cut in fight,He pushed me and I got injury,My eye is hurt because of his slap,Can emotional hurt be called injury?,Police beat me and I got bleeding,I got fracture due to their attack,I fell after they hit me,I got pain due to slap,Is mental trauma also injury?,I was injured due to their fight
45,Definitions,He tried to take my life,Is unborn child’s life counted?,My father’s life is in danger,Can we call coma patient still living?,He put poison in food to harm life,She threatened to take her life,What does life mean in law?,Can breathing be considered life?,He’s half alive — what does law say?,He is not dead but unconscious — is that life?
46,Definitions,He killed my husband,He beat him to death,Is this considered death in law?,He was declared dead after 2 days,She died because of negligence,My brother died due to poison,He’s missing—can we call him dead in court?,Court declared him dead after 7 years,What counts as death under IPC?,She passed away after injury — is it death?
47,Definitions,He killed our cow,They beat my dog to death,Is goat also called animal in law?,Does IPC cover birds as animals?,Monkey entered house—can we harm it?,Is snake considered animal?,Are stray dogs covered in law?,Can killing animal send someone to jail?,My buffalo was attacked — what action to take?,Are fish covered under IPC animals?
48,Definitions,What is vessel in IPC?,Is boat a vessel?,Is ship covered in this law?,Can fishing boat be called vessel?,Does IPC apply to country boats?,Is vessel same as container?,Is ferry considered vessel?,My goods sank with boat — is that vessel loss?,Is raft counted under this law?,Is cruise ship also a vessel in IPC?
49,Definitions,IPC says one year—how much exactly?,Is month same as calendar month?,What is one year in legal terms?,Does leap year affect IPC terms?,Is February counted fully in IPC?,Do we count 30 or 31 days for month?,Are holidays excluded from months in IPC?,What if someone arrested in middle of month?,Is jail sentence counted by date or days?,Is month in IPC 30 days or calendar?
50,Definitions,What does section mean in IPC?,Is this section like chapter?,Where can I find this section number?,Can one section be used for multiple cases?,Is IPC section same as FIR section?,What is difference between clause and section?,My FIR says Section 420 — what’s that?,Section and act — what’s difference?,Where is Section 295A written in IPC?,Section number decides punishment?
51,Definitions,He lied under oath,Is swearing in temple an oath?,Court asked me to take oath — what is that?,Is promise in front of god an oath?,He gave false statement under oath,Can witness be punished for lying in oath?,Is lawyer also taking oath?,Marriage oath is same as court oath?,Who can take legal oath?,I said truth under oath — still not believed
52,Definitions,I did it with good intention,He acted in good faith but failed,Can mistake with good heart be forgiven?,He helped police thinking it was right,I thought it was legal — acted in good faith,Is good faith counted in punishment?,She signed thinking it was for help,He gave info with good heart — now in trouble,Good faith means what in IPC?,Does intention matter in good faith?
52A,Definitions,He gave shelter to criminal,They hid thief in their house,My cousin helped absconding accused,He kept criminal in godown,They gave food to accused to escape,My uncle hid murderer in farm,What if I didn’t know he was criminal?,Is keeping someone at home called harbouring?,Police says I gave place to terrorist,Can landlord be jailed for giving room to accused?
53,Punishment Classification,What types of punishments are there in IPC?,Can someone be fined instead of jail?,What is difference between life sentence and death?,Is community service a punishment?,Are there any alternatives to jail?,What is the harshest punishment in IPC?,Can a person get both fine and imprisonment?,What punishment is given for serious crimes?,Is public hanging allowed?,How many types of legal punishments are there?
53A,Interpretation,What does transportation mean in old laws?,Was transportation same as exile?,Does IPC still use transportation punishment?,My grandfather was transported — what does it mean?,Was Kala Pani a punishment under IPC?,Is transportation now replaced by imprisonment?,What section explains transportation?,What does IPC say about British-era punishments?,Is transportation a legal term in today’s law?,Where did they send criminals under transportation?
54,Sentence Modification,Can death penalty be changed to life sentence?,Can government reduce a hanging sentence?,Can a mercy petition stop a death penalty?,Who has power to change death to life?,Is there any relief after being sentenced to death?,President can stop hanging?,Can religious leaders request commutation?,Can my brother’s sentence be changed?,What if the judge changes his mind?,Can court cancel death sentence after years?
55,Sentence Modification,Can life sentence be reduced?,Is life imprisonment actually 14 years?,Can a prisoner go home early from life term?,Who can shorten a life sentence?,Does CM or PM have power to release?,Can good behaviour reduce life sentence?,Is parole allowed for life imprisonment?,My uncle got life—can it be changed?,What if the crime was accidental—any relief?,Can SC change a life sentence to less years?
55A,Definitions,Who is the “appropriate government” in law?,Is CM or PM responsible in prisoner release?,Who decides on mercy petitions?,Who has power to commute sentence in state cases?,Does centre or state give pardon?,What if crime happened in UT — who decides?,What does “appropriate government” mean in IPC?,Is president always the final authority?,Can governor reduce any punishment?,Who takes final call on prisoner’s future?
57,Interpretation,What does fraction of sentence mean?,How is half of punishment counted?,Is life sentence counted as 20 years?,Is 14 years life sentence in real?,How is punishment duration calculated?,What if sentence is less than a year?,Does 6 months mean exactly 180 days?,Is Sunday counted in jail term?,How many months is ¾th of 1 year sentence?,Is one-third punishment possible legally?
60,Sentencing Flexibility,What is rigorous vs simple punishment?,"Can half sentence be with hard work, rest not?",Can judge give mixed punishment?,What is part simple and part rigorous jail?,Is working in jail part of punishment?,Can I request for simple jail only?,What if jail is divided between labour and rest?,Can sentence be partly harsh and partly easy?,Is hard labour always mandatory in jail?,"My friend got half rigorous, half simple — what’s that?"
63,Sentencing,Who decides the amount of fine?,How much fine can court impose?,Is there maximum fine limit in IPC?,Can poor people get less fine?,"My son got ₹10,000 fine—is it valid?",Can judge decide fine on spot?,Is fine same for rich and poor?,Can I appeal to reduce fine?,Can fine be waived fully?,Is jail allowed if fine not paid?
64,Default Punishment,What happens if I can’t pay fine?,Can I go to jail instead of paying fine?,Is non-payment of fine punishable?,What is jail term if fine not paid?,Can I request time to pay fine?,Will police arrest me for not paying fine?,My father was jailed for not paying challan,Can judge send to jail directly for fine?,Is loan same as fine legally?,Can property be seized instead of jail?
65,Sentencing Rules,Is there a limit to jail when both fine and sentence given?,How many extra days if fine not paid?,Can jail be doubled with fine?,Can fine be separate from sentence?,Is fine added to jail time or inside it?,Can court increase jail due to unpaid fine?,Is fine converted to jail legally?,Is there maximum time for unpaid fine jail?,Can I serve jail instead of ₹ amount?,How judge decides fine + jail duration?
66,Sentencing Rules,How is jail term described for not paying fine?,Is there a fixed sentence if I don't pay fine?,What does IPC say if fine is unpaid?,Is jail different for poor who can’t pay?,My cousin got jail for not paying fine—how long?,Does court tell jail time with fine in judgment?,What if I default on traffic fine repeatedly?,How jail term is calculated if fine is unpaid?,Is this punishment harsher if not paid on time?,Court said jail for not paying—how do they decide?
67,Default Punishment,Will I be jailed if offence has only fine?,"What if crime has no jail, only fine?",I couldn't pay challan—can they send me to jail?,Does simple offence lead to prison if unpaid?,Can poor person get jail for small fine?,I didn’t pay ₹500 fine — will I be arrested?,Can police arrest for unpaid small fine?,My FIR has no jail—still police arrested?,Fine-only offence—how long is jail on default?,I thought no jail if only fine — but I’m in trouble?
68,Sentencing Relief,Can jail end if I pay fine later?,"If I pay now, will court release me?",My brother was jailed — can I pay and free him?,Is payment after jail start valid?,What is rule for release if fine paid late?,Can judge stop jail if fine paid in court?,Can we pay fine at police station to avoid jail?,Fine is ready now—will they stop punishment?,I was jailed for fine — can I get out early?,Is payment allowed after sentence begins?
69,Sentencing Relief,I can pay half fine — will they reduce jail?,Is part payment enough to reduce sentence?,Can partial fine reduce jail time?,"If I pay ₹1,000 out of ₹2,000 fine — what now?",Does jail time reduce if I pay some amount?,Is there discount in jail days for partial fine?,Will police accept half payment?,Can I get days off by paying little?,If family pays half — can he get out early?,Is it legal to allow partial payment for relief?
70,Recovery Provisions,Can fine be collected after jail is over?,How long can government recover unpaid fine?,My fine is 5 years old — will they still collect?,Is there a time limit for recovering fine?,Can I be arrested after years for unpaid fine?,Is fine valid during and after jail?,Can police come after 6 years to collect fine?,I served jail—do I still owe fine?,Fine was not paid—now they came after 4 years?,Can fine be recovered once sentence completed?
71,Sentencing Limit,Will I be punished twice for same act?,My offence covers 2 sections — will sentence double?,Can punishment go beyond what’s written in IPC?,Can judge give more than maximum IPC allows?,Is extra punishment allowed if it falls under many IPCs?,Is sentence added up for each section?,I did one act — why multiple punishments?,Will I be jailed separately for each charge?,Can same act be punished more than once?,Is there any limit to punishment for one act?
72,Sentencing Limit,If crime is unclear — what will court do?,Judge said unclear offence — what now?,I’m charged with multiple offences — unsure which,What if evidence is not strong for exact offence?,Court said I may have done one of many crimes,Will I still be punished if exact crime not known?,Can doubt lead to lesser sentence?,What happens if court confused between sections?,My FIR has many IPCs — how will court decide?,I didn’t do all crimes — but still being punished?
73,Sentencing Type,What is solitary confinement?,Is it legal to keep person alone in jail?,My brother is being kept in isolation in jail,What punishment is this where no one meets him?,Is solitary jail allowed in India?,Can someone be punished by keeping him alone?,What happens in solitary jail?,Is mental health affected in solitary confinement?,Can court order jail without contact with anyone?,My cousin was alone in cell for days — is this legal?
74,Sentencing Rules,How many days solitary jail is allowed?,Can solitary confinement go on for months?,Is there limit to being locked alone?,He was in isolation for weeks — is that allowed?,What is legal limit of solitary punishment?,Can solitary be given for small offences?,Is court allowed to give long solitary punishment?,Does IPC say how long person can be in isolation?,My friend was 1 month alone in jail — is that legal?,How many days max one can be kept in solitary?
75,Habitual Offenders,My neighbour is repeat offender — will sentence increase?,He did same crime again — is there extra punishment?,What if someone is caught second time?,Court said he’s habitual — what does that mean?,Is law strict for repeat criminals?,Will sentence be double for second-time offender?,He stole again after jail — will punishment be more?,My cousin did same crime twice — any difference in sentence?,Can IPC give longer punishment for repeated crime?,Is there enhanced punishment for repeat cases?
76,General Exception,I did it thinking it was my legal duty,Police told me to do it — now they say it’s crime,I thought I was following orders from law,I acted thinking I was helping police,I followed what I thought was a rule,I believed it was legal when I did it,I didn’t know it was illegal — I was told by officer,Is mistake of fact still punished?,I acted in good faith thinking I had to obey law,I followed court orders — now facing case
77,General Exception,Judge gave decision — can he be punished?,My case was dismissed — can judge be jailed?,Can judge be sued for wrong order?,Is judge protected under law for his judgment?,He gave harsh order — is judge above IPC?,Judge insulted me in court — can I file case?,Can magistrate go to jail for wrong conviction?,Are judges always safe under IPC?,Can judge be arrested under criminal offence?,Is judicial order immune from IPC?
78,General Exception,I followed court order — why case on me now?,Police took action based on judge order,Am I protected if I did what court told me?,Court gave written order — I just obeyed,Can anyone be punished for doing court duty?,My officer did what judge said — now facing FIR,Court told me to seal shop — now owner filed case,Is following court direction punishable?,Are court assistants safe from legal action?,What if court gave wrong order but I followed it?
79,General Exception,I thought I was stopping a thief — it was wrong person,I acted thinking he was criminal,I misunderstood situation but acted lawfully,I believed I was saving someone from danger,My act looked illegal but intention was right,I hit someone thinking he was attacking my friend,I intervened thinking it was crime — now I’m accused,Is mistake of identity excused in IPC?,"I acted to help, now they blame me — is it crime?",Is action done under false belief also protected?
80,General Exception,I hurt him by mistake while doing my work,It was an accident during normal job,I didn’t intend harm — it just happened,He got injured while I was cutting wood,I dropped hot water by mistake,Can accidental harm put me in jail?,It was unintentional — can I be charged?,It happened while cleaning roof — he fell,My action was lawful — accident happened,It was a slip — no intention to harm
81,General Exception,I broke lock to save child inside,I set fire to stop bigger fire,I injured him while saving others,I harmed one to save many,I damaged car to stop criminal from escaping,I pulled electric wire to stop fire — now case on me,I chose lesser harm to prevent bigger tragedy,I broke shop glass to save someone inside,Is harm allowed if it saves more people?,Can I do small damage to prevent major loss?
82,General Exception,My son is only 6 — he didn’t know it was wrong,A small child broke something — is it crime?,Can child below 7 be arrested?,He’s a kid — how can he be criminal?,My 5-year-old pushed someone — FIR filed,Is 6-year-old criminally liable?,My little daughter caused injury while playing,Child under 7 took money unknowingly,Can law punish child under 7?,What IPC says about small children doing wrong?
83,General Exception,My son is 10 — he didn’t understand,He’s only 8 — doesn’t know right or wrong,Is a 9-year-old criminally responsible?,Can a 12-year-old go to jail?,My child has no maturity — why case on him?,Police caught 11-year-old — what does law say?,Can judge forgive kid below 12?,He did mistake unknowingly — is he liable?,Is there age test before jail for children?,Law punishes minor under 12 if mind not developed?
84,General Exception,He has mental illness — how can he be punished?,My brother doesn’t understand his actions,Can mentally unfit person go to jail?,He doesn’t even know what he did,Court filed case on insane man — is it valid?,He hears voices — and hit someone,My son is in mental hospital — why legal case?,What IPC says about mad person committing crime?,Can schizophrenia be excuse under IPC?,"Law protects unsound mind person, right?"
85,General Exception,He was forced to drink — then hit someone,They got him drunk — now police arrested him,He was intoxicated unknowingly,My husband was drugged — then incident happened,What if drink was mixed secretly?,Can one be punished if they were drugged?,Is accidental intoxication protected by law?,He was not in control — still punished?,Police gave him alcohol — then FIR?,He was unaware it was alcohol — now in jail?
86,General Exception,He drank himself — now saying no intention,Is being drunk an excuse in court?,He did crime while drunk — is that allowed?,Is alcohol a legal defence?,He was drunk and slapped me — is it still offence?,"If drunk, can person avoid punishment?",Court still punishes for crime even if drunk?,Is there exception for voluntary drinking?,He was not in senses — but took drinks on his own,Can drinker claim no intent in court?
87,General Exception,We were fighting for fun — he got hurt,I gave consent for match — then got injured,We were wrestling — now police involved,It was friendly — not serious — but FIR filed,He agreed to risky game — then accident happened,Is hurt during friendly act a crime?,I got hurt in gym by friend — is it offence?,Can mutual consent excuse injury?,We were playing — but now they filed case,My brother agreed — now says I tried to kill him
88,General Exception,He did operation with my consent,I allowed treatment — still it went wrong,I told him to help me — now injury happened,He was saving me — but hurt happened,It was done for my benefit — why case now?,I allowed him to pull me up — I fell,Doctor treated me — now police complaint,Can helpful act be punished?,I gave clear consent — still court involved?,If done to help me — is it still crime?
89,General Exception,My son’s teacher slapped him to correct,Guardian gave consent — still court involved,It was for child’s good — but complaint filed,My sister is mentally challenged — guardian agreed,Can teacher be punished for correcting child?,Is small scolding/hurt for child's good allowed?,My father gave consent for minor surgery,What law says about guardian consent for action?,Does law punish helpful act for insane person?,They helped mentally ill person — now facing FIR?
90,General Exception,I said yes because I was scared,They made me sign under pressure,I agreed because I thought it was something else,I was misled into giving consent,My child gave yes — but he’s underage,They tricked me — and now using it as consent,Is forced consent legal?,I was drunk — they made me agree,They took my signature without understanding,Is consent valid if person was afraid?
91,General Exception,"I did something wrong, but it wasn't a crime",It’s not illegal but still they filed FIR,Can I be punished for something that's not an offence?,He says it’s offence — but law doesn’t say so,What if it’s not listed in IPC — still police case?,"If it’s not criminal, can I still be punished?",I didn’t commit crime but still in trouble,What if my act is bad but not illegal?,Is there jail for moral wrongs?,I was doing my job — now they say it’s a crime?
92,General Exception,I helped him in emergency — now he’s blaming me,"He was unconscious, I helped — now complaint",I broke window to save baby — now FIR,I took him to doctor without asking,I acted fast to save him — but family angry,What if I helped without asking and something went wrong?,"Law protects me if I tried to help, right?",Can they file case if I acted for their good?,I acted quickly to save life — is that illegal?,What IPC says if I help without permission?
93,General Exception,I warned him for his safety — now he’s angry,I told his wife truth for his good,I informed police in good faith,I wrote letter to alert him — now FIR,Can good-faith advice be criminal?,I gave honest suggestion — now case on me,I spoke truth to help — is it offence?,I warned him to avoid harm — he complained,What is protected speech under IPC?,I alerted society of issue — now they threaten me?
94,General Exception,They forced me by threatening to kill me,I had to do it — they had gun on me,I was blackmailed to commit this act,I acted under life threat,I was scared for my child’s life,They said they’ll burn my house if I don’t do it,Can forced action be excused?,If threat is real — is act still punished?,I didn’t want to — I was forced,Can IPC forgive crime done under life danger?
95,General Exception,It was just a small push — now FIR,I caused minor scratch — why case now?,I said a word — he took it seriously,Slight harm without intention — still police case?,Can very small harm be excused in law?,I accidentally stepped on foot — he complained,We argued — no injury — still FIR?,My scooter touched his — now he wants FIR,Can slight annoyance be crime?,Is every small act also a punishable offence?
96,Private Defence,I hit him to protect myself,I fought back when they attacked me,They tried to rob me — I pushed them,I slapped thief — now he filed case,Can I defend myself legally?,What is allowed in self-defence in India?,They entered house — I reacted,Is my reaction allowed if I felt threatened?,I broke stick on robber’s hand — now I’m in jail,Can I fight if attacked first?
97,Private Defence,Can I defend my house from thieves?,Can I protect my family from attack?,Do I have right to defend myself in India?,What if someone touches my property forcefully?,Can I hit someone entering my land?,Someone tried to hurt me — I responded,What IPC says about defending property or body?,Is defence allowed without going to police?,I chased someone stealing bike — now case on me,How far can I go in defending myself or belongings?
98,Private Defence,Can I defend myself from a mentally unstable person?,What if mad person attacked me — can I hit back?,He’s not sane — still he attacked me,Can I stop a drunk person from hurting me?,If attacker is insane — do I still have right to defend?,What if child attacked me — can I defend?,I pushed a crazy man attacking me — legal?,Is defence valid if attacker is not criminal?,Can I act in self-defence if attacker is not aware?,My brother hit me during mental episode — can I stop him?
99,Private Defence,What if police enters — can I hit back?,Can I defend against lawful officer?,When is self-defence not allowed?,If court sent someone — can I stop them?,Is there limit to self-defence?,I overreacted in fear — is it excused?,Can I be punished for hitting too hard in defence?,What if attacker was not dangerous anymore?,Law says don’t overuse force — what does that mean?,When does right to defence end legally?
100,Private Defence,Can I kill in self-defence?,Someone tried to kill me — I hit him hard,He attacked with knife — I shot him,Is killing justified in self-defence?,He came with gun — I used rod — is it legal?,What if my life was in danger — can I kill?,Can we kill attacker if family is in danger?,Someone tried to rape my sister — I killed him,Can I stab someone in self-defence?,I feared for my life — so I used deadly force
