Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital Status,Religion,State,Education Required,Minority Status,For Orphans,Eligibility Summary
National Mission on Hybrid Seeds,Department of Agriculture and Farmers Welfare,"₹100 cr scheme for hybrid seed production, R&D, and distribution to boost yields.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Farmer / Seed Enterprise / Startup,Any,Any,Any,Central,None,Any,Any,"Seed producers, startups, and agencies involved in hybrid seed production and distribution."
Support for Makhana Board,Department of Agriculture and Farmers Welfare,"₹100 cr support to Makhana producers for cultivation, processing, branding, and exports through a dedicated board.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Makhana Grower / Processor / FPO,Any,Any,Any,Central,None,Any,Any,"Makhana growers, processors, and FPOs in producing regions, registered with the Makhana Board."
Additional transfer to Agriculture Infrastructure,Department of Agriculture and Farmers Welfare,"₹6,000 cr fund (originally ₹4,500 cr) to support rural/agri infrastructure—warehousing, cold chains, farm hubs—via the AIF scheme.",https://www.myscheme.gov.in,18,None,Any,Any,null,FPO / MSME / Bank / Agri-Enterprise,Any,Any,Any,Central,None,Any,Any,"FPOs, MSMEs, banks, and agri-enterprises eligible for low-interest loans under AIF to improve agri/rural infrastructure."
Additional amount met from Reserve Fund,Department of Agriculture and Farmers Welfare,"₹1,000 cr deduction entry from Reserve Fund – internal financial adjustment, not an eligibility scheme.",Not applicable – internal government financial adjustment.,None,None,Any,Any,NA,NA,NA,NA,NA,Central,NA,NA,NA,Not a beneficiary scheme – internal accounting adjustment to Reserve Fund.
National Agricultural Higher Education Project (EAP),Department of Agricultural Research and Education,"Centrally sponsored project with World Bank support to strengthen agricultural education institutions across India through excellence in teaching, faculty development, and research.",https://www.myscheme.gov.in,21,None,Any,Any,null,University / ICAR Institution / Education Body,Any,Any,Any,Central,Graduate+,Any,Any,"ICAR institutions, SAUs, and agri-education bodies under ICAR–World Bank framework."
Strengthening of Krishi Vigyan Kendras (KVKs),Department of Agricultural Research and Education,Enhances infrastructure and extension services of KVKs to serve as frontline agri-technology transfer centers across India.,https://www.myscheme.gov.in,21,None,Any,Any,null,KVK / ICAR Extension Unit,Any,Any,Any,Central,Graduate+,Any,Any,"Eligible KVKs under ICAR and SAUs based on performance, outreach needs, and infrastructure gaps."
Agricultural Production and Post-Production Mechanization with Innovative Technologies,Department of Agricultural Research and Education,Scheme to develop and deploy modern machinery and mechanization tech for sustainable agriculture across pre/post-production stages.,https://www.myscheme.gov.in,18,None,Any,Any,27000,Farmer / Startup / Agri-Tech / Manufacturer,Any,Any,Any,Central,None,Any,Any,"Farmers, FPOs, startups, and machinery providers involved in mechanization innovations as per guidelines."
Natural Resource Management,Department of Agricultural Research and Education,"Aims at conservation of soil, water, and resources through scientific, sustainable, and farmer-friendly approaches.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Farmer / NGO / Watershed Association / Research Org,Any,Any,Any,Central,None,Any,Any,"Farmers, NGOs, and watershed bodies involved in sustainable resource conservation programs."
Crop Science for Food and Nutritional Security,Department of Agricultural Research and Education,"Develops crop varieties and biotech/agronomic innovations to ensure nutritional and food security through pulses, cereals, oilseeds, etc.",https://www.myscheme.gov.in,21,None,Any,Any,null,ICAR / Agri University / Biotech Firm,Any,Any,Any,Central,Graduate+,Any,Any,"ICAR institutions, biotech firms, universities, and R&D consortia engaged in nutritional crop improvement."
"Research, Education and Technology Development for Sustainable Livestock Health and Production",Department of Agricultural Research and Education,"Integrated effort to enhance livestock health through research, breeding, disease control, and innovation supporting nutritional security.",https://www.myscheme.gov.in,21,None,Any,Any,null,Livestock Farmer / Veterinary Institute / Biotech Firm,Any,Any,Any,Central,Graduate+,Any,Any,"Livestock farmers, ICAR/SAU bodies, biotech firms in health and breeding innovations."
Fisheries and Aquaculture for Sustainable Development,Department of Agricultural Research and Education,"Supports sustainable inland and marine fisheries via hatchery upgrades, species diversification, and aquaculture value-chain development.",https://www.myscheme.gov.in,18,None,Any,Any,null,Fish Farmer / Research Institute / Hatchery Operator,Any,Any,Any,Central,None,Any,Any,"Fishers, aquaculture orgs, hatcheries, research institutes engaged in sustainable practices."
"Strengthening Agricultural Education, Management & Social Sciences",Department of Agricultural Research and Education,"Enhances agricultural education with social science integration, improved management, and rural development research.",https://www.myscheme.gov.in,21,None,Any,Any,null,ICAR / SAU / Researcher / Policy Educator,Any,Any,Any,Central,Graduate+,Any,Any,"Agricultural universities, ICAR divisions, educators, researchers in agri-policy and extension."
R&D projects of Bhabha Atomic Research Centre (BARC),Atomic Energy,Core research projects in nuclear science and strategic atomic energy applications for innovation.,https://www.myscheme.gov.in,21,None,Any,Any,null,BARC Scientist / DAE Partner / Research Institute,Any,Any,Any,Central,Graduate+,Any,Any,"BARC-affiliated scientists, research orgs, and strategic DAE partners working on core R&D initiatives."
R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),Atomic Energy,"Focuses on fast reactors and advanced fuel cycles with emphasis on safety, sustainability, and innovation.",https://www.myscheme.gov.in,21,None,Any,Any,null,IGCAR Scientist / Fuel-Cycle Research Collaborator,Any,Any,Any,Central,Graduate+,Any,Any,IGCAR scientists and DAE research collaborators working on fuel cycle and fast reactor systems.
R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),Atomic Energy,"AMDER's initiatives in geological surveys, mineral mapping, and exploration for atomic minerals.",https://www.myscheme.gov.in,21,None,Any,Any,null,Geologist / Mineral Researcher / Survey Team,Any,Any,Any,Central,Graduate+,Any,Any,"AMDER scientists, geologists, and survey teams in atomic mineral exploration and mapping."
Grants to other Institutions,Atomic Energy,Grants provided to other institutions for atomic research collaboration and infrastructure support.,https://www.myscheme.gov.in,21,None,Any,Any,null,Scientific/Academic Institution,Any,Any,Any,Central,Graduate+,Any,Any,Recognized scientific or academic institutes working on atomic energy-related research or infra.
Fuel Recycle Projects (NRB),Atomic Energy,Projects for fuel reprocessing and recycling in closed-loop systems for fast reactors.,https://www.myscheme.gov.in,21,None,Any,Any,null,Nuclear Scientist / Fuel Technologist,Any,Any,Any,Central,Graduate+,Any,Any,"Nuclear plant operators, reprocessing teams, and scientists in fuel cycle systems."
Housing Projects,Atomic Energy,Development and maintenance of housing for atomic energy department employees.,https://www.myscheme.gov.in,21,None,Any,Any,null,Civil Engineer / Contractor / Housing Board,Any,Any,Any,Central,Graduate+,Any,Any,"DAE housing boards, construction contractors, and engineers managing housing development."
Improvement/Modifications of Heavy water projects,Atomic Energy,Upgradation and efficiency improvement of heavy water production plants.,https://www.myscheme.gov.in,21,None,Any,Any,null,Heavy Water Engineer / Technical Staff,Any,Any,Any,Central,Graduate+,Any,Any,Technical teams and engineers working on efficiency improvement of heavy water plants.
Radiation and Isotopes Project (BRIT),Atomic Energy,"Projects by BRIT focusing on radiation technologies and isotope production for health, industry, and agriculture.",https://www.myscheme.gov.in,21,None,Any,Any,null,BRIT Scientist / Isotope Lab / Partner Unit,Any,Any,Any,Central,Graduate+,Any,Any,"BRIT scientists, isotope application units, and institutions using radiation/isotope technology."
Nuclear Power Projects,Atomic Energy,"Construction, operation, and maintenance of nuclear power plants across India.",https://www.myscheme.gov.in,21,None,Any,Any,null,NPCIL Engineer / EPC Contractor / Project Dev,Any,Any,Any,Central,Graduate+,Any,Any,"NPCIL engineers, EPC contractors, and eligible project developers in nuclear power sector."
Nuclear Fuel Fabrication Projects,Atomic Energy,Production and supply of nuclear fuel assemblies for Indian reactors.,https://www.myscheme.gov.in,21,None,Any,Any,null,Fuel Fabricator / DAE Vendor,Any,Any,Any,Central,Graduate+,Any,Any,Approved nuclear fuel units and DAE-authorized vendors involved in reactor fuel production.
Atomic Energy Regulatory Board Expansion Project,Atomic Energy,Projects supporting regulatory framework strengthening and infrastructure for nuclear safety.,https://www.myscheme.gov.in,21,None,Any,Any,null,AERB Scientist / Nuclear Safety Expert,Any,Any,Any,Central,Graduate+,Any,Any,Scientists and oversight bodies involved in regulatory and nuclear safety enhancement.
R&D projects of Variable Energy Cyclotron Centre (VECC),Atomic Energy,VECC's R&D involving particle accelerators and cyclotron-based technologies for science and medicine.,https://www.myscheme.gov.in,21,None,Any,Any,null,VECC Researcher / Particle Physicist,Any,Any,Any,Central,Graduate+,Any,Any,VECC staff and collaborating researchers in cyclotron and medical physics innovations.
Industries and Minerals Projects,Atomic Energy,Projects in atomic minerals exploration and industrial support activities in the atomic sector.,https://www.myscheme.gov.in,21,None,Any,Any,null,Mining Industry / DAE-Linked Industry Staff,Any,Any,Any,Central,Graduate+,Any,Any,Industries and professionals in atomic mineral extraction and industrial DAE sectors.
Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,Atomic Energy,Development of Fast Reactor Fuel Cycle Facility (FRFCF) to support closed fuel cycle operations.,https://www.myscheme.gov.in,21,None,Any,Any,null,FRFCF Technical Team / Physicist / Developer,Any,Any,Any,Central,Graduate+,Any,Any,"FRFCF scientists, reactor physicists, and staff engaged in fast reactor fuel cycle development."
Nuclear Fuel Inventory,Atomic Energy,Procurement and management of nuclear fuel inventory to ensure energy security for reactor operations.,https://www.myscheme.gov.in,21,None,Any,Any,null,DAE Officer / Nuclear Plant Operator,Any,Any,Any,Central,Graduate+,Any,Any,Fuel procurement and inventory staff within DAE and nuclear power agencies.
"Information, Education and Communication",Ministry of AYUSH,"This scheme focuses on raising awareness and educating the public on AYUSH systems through multimedia, workshops, and publications.",https://www.myscheme.gov.in,21,None,Any,Any,null,Public Health Educator / NGO / AYUSH Dept,Any,Any,Any,Central,Graduate+,Any,Any,"AYUSH departments, NGOs, and health educators engaged in public awareness and promotion."
Promotion of International Cooperation,Ministry of AYUSH,"A scheme to promote AYUSH systems globally through MoUs, exchange programmes, and international exhibitions.",https://www.myscheme.gov.in,21,None,Any,Any,null,Research Body / AYUSH Institution / Delegate,Any,Any,Any,Central,Graduate+,Any,Any,"AYUSH institutions, research partners, and delegates involved in global collaborations and exchanges."
AYURGYAN,Ministry of AYUSH,This scheme supports capacity building and research development in AYUSH educational institutions.,https://www.myscheme.gov.in,21,None,Any,Any,null,AYUSH College / University / Research Institute,Any,Any,Any,Central,Graduate+,Any,Any,"Recognized AYUSH colleges, universities, and research bodies supported by Ministry of AYUSH."
Ayurswasthya Yojana,Ministry of AYUSH,"A scheme aimed at preventive healthcare through AYUSH interventions, public health outreach, and traditional wellness practices.",https://www.myscheme.gov.in,21,None,Any,Any,null,NGO / Health Partner / State AYUSH Dept,Any,Any,Any,Central,Graduate+,Any,Any,"State/UT AYUSH depts, NGOs, and outreach groups involved in public health through AYUSH."
AYUSH Oushadhi Gunvatta evum Uttapadan Samvardhan Yojana (AOGUSY),Ministry of AYUSH,Focused on improving the quality and manufacturing standards of AYUSH medicines across India.,https://www.myscheme.gov.in,21,None,Any,Any,null,Licensed AYUSH Drug Manufacturer / Pharma Firm,Any,Any,Any,Central,Graduate+,Any,Any,AYUSH drug manufacturers licensed under Ministry guidelines for quality improvement.
"Central Sector Scheme for Conservation, Development and Sustainable Management of Medicinal Plants",Ministry of AYUSH,"Supports conservation, cultivation, and sustainable management of medicinal plants used in AYUSH practices.",https://www.myscheme.gov.in,21,None,Any,Any,null,Farmer / Forest Dept / Medicinal Plant Board,Any,Any,Any,Central,None,Any,Any,"Farmers, cooperatives, forest depts, and boards working with medicinal plant cultivation and conservation."
New Schemes of Petrochemicals,Department of Chemicals & Petrochemicals,"This scheme aims to promote the growth and development of the petrochemical sector in India by supporting research, infrastructure, and skill development.",https://www.myscheme.gov.in,21,None,Any,Any,null,Petrochemical Industry / R&D Institution,Any,Any,Any,Central,Graduate+,Any,Any,"Petrochemical companies, academic bodies, and industry associations for research and infrastructure support."
Nutrient Based Subsidy (NBS),Department of Fertilizers,"NBS policy offers a fixed rate subsidy on fertilizers based on nutrient content, encouraging balanced fertilization and reducing overuse of urea.",https://www.myscheme.gov.in,21,None,Any,Any,null,Fertilizer Manufacturer / Importer,Any,Any,Any,Central,Graduate+,Any,Any,Fertilizer companies producing/importing phosphatic and potassic fertilizers under NBS guidelines.
Scheme for Promotion of Flagging of Merchant Ships in India,Department of Fertilizers,"Scheme to enhance India’s maritime trade logistics, indirectly supporting fertilizer transport and distribution.",https://www.myscheme.gov.in,21,None,Any,Any,null,Indian Shipping Company / DG Shipping Registered,Any,Any,Any,Central,Graduate+,Any,Any,Indian shipping companies operating under Indian flag and registered with DG Shipping.
Policy on Promotion of Organic Fertilizers,Department of Fertilizers,"Promotes production and use of organic fertilizers (compost, bio-fertilizers) to foster sustainable agriculture.",https://www.myscheme.gov.in,21,None,Any,Any,null,Organic Fertilizer Producer / Bio-fertilizer Unit,Any,Any,Any,Central,None,Any,Any,"Licensed producers, cooperatives, and bio-fertilizer units promoting sustainable farming practices."
Additional Transfer to Reserve Fund,Department of Fertilizers,Financial provisioning for future obligations related to fertilizer subsidies and market volatility.,Internal government financial adjustment – not applicable to public schemes.,21,None,Any,Any,null,NA,NA,NA,NA,Central,NA,NA,NA,Internal government allocation – not open to public participation.
Additional Amount Met from Reserve Fund,Department of Fertilizers,Use of reserve funds to manage excess subsidy expenditure caused by increased fertilizer demand or price surges.,Internal government financial adjustment – not applicable to public schemes.,21,None,Any,Any,null,NA,NA,NA,NA,Central,NA,NA,NA,Internal financial adjustment for fertilizer subsidy overflows – not applicable to public.
Jan Aushadhi Scheme,Department of Pharmaceuticals,Aims to provide quality generic medicines at affordable prices through Pradhan Mantri Bhartiya Janaushadhi Kendras (PMBJKs).,https://www.myscheme.gov.in,21,None,Any,Any,null,Entrepreneur / Pharmacist / Doctor / NGO,Any,Any,Any,Central,Graduate+,Any,Any,Individuals meeting qualification & infra norms to open PMBJKs (pharmacy outlets for generic drugs).
"Consumer Awareness, Publicity and Price Monitoring",Department of Pharmaceuticals,"Seeks to educate consumers on medicine pricing and quality, ensure transparency, and monitor overpricing by pharma companies.",https://www.myscheme.gov.in,18,None,Any,Any,null,Consumer Org / NGO / Regulator / Govt Agency,Any,Any,Any,Central,None,Any,Any,"Regulatory bodies, NGOs, and gov. agencies involved in drug pricing and public awareness."
Development of Pharmaceutical Industry,Department of Pharmaceuticals,"Supports infrastructure development, tech upgrade, and R&D in Indian pharma sector to boost competitiveness and encourage innovation.",https://www.myscheme.gov.in,21,None,Any,Any,null,Pharma MSMEs / Research Institute / Infra Developer,Any,Any,Any,Central,Graduate+,Any,Any,"Pharma MSMEs, clusters, and institutions involved in infrastructure and R&D in pharma parks."
Production Linked Incentive (PLI) Scheme,Department of Pharmaceuticals,"Provides incentives to promote domestic manufacturing of APIs, drug intermediates, and key starting materials, reducing import dependence.",https://www.myscheme.gov.in,21,None,Any,Any,null,API Manufacturer / Pharma Company,Any,Any,Any,Central,Graduate+,Any,Any,"Indian-registered pharma manufacturers producing APIs, KSMs, and drug intermediates."
Promotion of Research and Innovation in Pharma Med-Tech (PRIP),Department of Pharmaceuticals,Strengthens R&D and innovation in pharma and med-tech through academia-industry collaboration and support for cutting-edge medical research.,https://www.myscheme.gov.in,21,None,Any,Any,null,Pharma Company / Startup / R&D Org / Academic Institute,Any,Any,Any,Central,Graduate+,Any,Any,"Companies, startups, and institutions collaborating in pharma/med-tech research and innovation initiatives."
Regional Connectivity Scheme (RCS - UDAN),Ministry of Civil Aviation,RCS aims to make air travel affordable and widespread by connecting underserved and unserved airports across India through viability gap funding and concessions.,https://www.myscheme.gov.in,21,None,Any,Any,null,Airline Operator / Airport Developer / State Govt,Any,Any,Any,Central,None,Any,Any,"Airlines, developers, and states participating in UDAN bidding to operate underutilized airports."
Krishi Udaan Scheme,Ministry of Civil Aviation,"Facilitates transportation of agri-produce by air from rural areas to markets, enhancing farmer income and reducing post-harvest loss.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Farmer / FPO / Agri-logistics Provider / Airline Operator,Any,Any,Any,Central,None,Any,Any,"Farmers, FPOs, and logistics firms transporting perishables from rural zones to urban hubs via air."
Production Linked Incentive (PLI) Scheme for Drones,Ministry of Civil Aviation,"Incentives to encourage domestic drone & component manufacturing, aiming to make India a global drone hub.",https://www.myscheme.gov.in,21,None,Any,Any,null,Drone Manufacturer / Component Maker / Startup / MSME,Any,Any,Any,Central,Graduate+,Any,Any,"Eligible drone firms (as per PLI norms), including startups and MSMEs, manufacturing drones or key components."
Customs Cost Recovery (CCR) Charges Support,Ministry of Civil Aviation,Reimburses CCR charges to AAI & AAICLAS to boost air cargo infrastructure at smaller airports and promote regional cargo movement.,https://www.myscheme.gov.in,21,None,Any,Any,null,AAI / AAICLAS Cargo Logistics Operator,Any,Any,Any,Central,None,Any,Any,AAI and AAICLAS operating cargo services in Tier II/III airports receive reimbursements for CCR expenses.
Research and Development (Coal Sector),Ministry of Coal,"Supports coal-related R&D for exploration, mining safety, beneficiation, and environmental protection, fostering sustainable practices.",https://www.myscheme.gov.in,21,None,Any,Any,null,Academic / Research Org / PSU / Private Coal Company,Any,Any,Any,Central,Graduate+,Any,Any,"Eligible R&D institutes, coal firms, and academic bodies undertaking coal sector innovation and sustainability projects."
Exploration of Coal and Lignite,Ministry of Coal,Funds regional and detailed exploration of coal and lignite reserves to increase resource availability and support future coal mining projects.,https://www.myscheme.gov.in,21,None,Any,Any,Null,Government Agency / PSU Staff / Exploration Department,Any,Any,Any,Central,None,Any,Any,"Government agencies, state departments, and central PSUs like CMPDI involved in exploration."
Amount Met from NMET Fund,Ministry of Coal,Represents funding support from NMET for mineral and coal exploration to ensure cost-sharing for resource identification.,Internal fund allocation for mineral exploration – not open to public application.,None,None,NA,Any,NA,NA,NA,NA,NA,Central,NA,NA,NA,Not applicable for public application — used by designated government agencies.
Scheme for Promotion of Coal/Lignite Gasification,Ministry of Coal,"Promotes gasification of coal/lignite to produce syngas, methanol, hydrogen, and clean energy, encouraging environmentally friendly technology.",https://www.myscheme.gov.in,21,None,Any,Any,Null,Public / Private Entity / PSU / Gasification Developer,Any,Any,Any,Central,None,Any,Any,"Public and private sector entities, PSUs, and joint ventures in gasification projects."
APEDA – Agri Export Promotion,Department of Commerce,"Promotes export of agricultural and processed food products with financial assistance, quality development, and infrastructure support.",https://www.myscheme.gov.in,18,None,Any,Any,Null,Exporter / Producer Company / State Agency,Any,Any,Any,Central,None,Any,Any,"Exporters registered with APEDA, producer companies, cooperatives, and state agencies."
MPEDA – Marine Products Export Development,Department of Commerce,"Facilitates export of marine products by supporting aquaculture, processing, and infrastructure development.",https://www.myscheme.gov.in,18,None,Any,Any,Null,Seafood Exporter / Aquaculture Farmer / Processing Unit,Any,Any,Any,Central,None,Any,Any,"Seafood exporters, aquaculture farmers, and registered MPEDA participants."
Duty Drawback Scheme,Department of Commerce,Provides refund of duties on imported inputs used in the manufacture of export goods to encourage exports.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Exporter,Any,Any,Any,Central,None,Any,Any,Indian exporters who use imported inputs in exported products.
Tea Board,Department of Commerce,"Promotes tea cultivation, quality enhancement, export development, and welfare of tea workers.",https://www.myscheme.gov.in,18,None,Any,Any,Null,Tea Grower / Exporter / Researcher / Worker Welfare Org,Any,Any,Any,Central,None,Any,Any,"Tea growers, exporters, research bodies, and workers’ welfare boards."
Coffee Board,Department of Commerce,"Oversees research, development, marketing, and export promotion for coffee produced in India.",https://www.myscheme.gov.in,18,None,Any,Any,Null,Coffee Grower / Cooperative / Exporter / Institution,Any,Any,Any,Central,None,Any,Any,"Coffee growers, cooperatives, exporters, and registered institutions."
Rubber Board,Department of Commerce,"Promotes development of the rubber industry through extension services, R&D, and market support.",https://www.myscheme.gov.in,18,None,Any,Any,Null,Rubber Grower / Processor / Cooperative / Industry Stakeholder,Any,Any,Any,Central,None,Any,Any,"Rubber growers, processors, cooperatives, and industry stakeholders."
Spices Board,Department of Commerce,"Responsible for export promotion, quality assurance, and development of spice production and processing.",https://www.myscheme.gov.in,18,None,Any,Any,Null,Spice Exporter / Producer / Cooperative,Any,Any,Any,Central,None,Any,Any,"Spice exporters, producers, and cooperatives registered with the board."
Gems and Jewellery Sector,Department of Commerce,Supports modernization and competitiveness of the gems and jewellery industry to boost exports.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Manufacturer / Exporter / Industry Body,Any,Any,Any,Central,None,Any,Any,"Manufacturers, exporters, and industry bodies in the gems and jewellery sector."
Interest Equalisation Scheme (IES),Department of Commerce,Provides interest subvention on pre- and post-shipment export credit to make Indian products more competitive.,https://www.myscheme.gov.in,18,None,Any,Any,Null,MSME Exporter / Manufacturer,Any,Any,Any,Central,None,Any,Any,MSME exporters and manufacturers from specified sectors with valid IECs.
Export Promotion Mission,Department of Commerce,Aims to coordinate and implement comprehensive policies to boost exports across sectors.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Government Department / Exporter / Export Council Member,Any,Any,Any,Central,None,Any,Any,"Government bodies, export councils, exporters — based on scheme-specific guidelines."
Centre for Research on International Trade (CRIT) – Centre for WTO Studies,Department of Commerce,"Undertakes research and analysis on global trade issues, particularly related to WTO, to support policy formulation.",https://www.myscheme.gov.in,21,None,Any,Any,Null,Researcher / Policy Maker / Institution,Any,Any,Any,Central,Graduate,Any,Any,"Researchers, policy makers, and institutions involved in global trade and WTO matters."
Transport and Marketing Assistance (TMA) Scheme for Specified Agriculture Products,Department of Commerce,Provides financial assistance for transport and marketing of agricultural products to boost agri exports.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Agricultural Exporter,Any,Any,Any,Central,None,Any,Any,"Exporters of eligible agricultural products under APEDA, as notified by the government."
Industrial Infrastructure Upgradation Scheme (IIUS),DPIIT,Enhances competitiveness of industry by upgrading infrastructure in industrial clusters.,https://www.myscheme.gov.in,21,None,Any,Any,Null,State Govt / SPV / Cluster Industry,Any,Any,Any,Central,None,Any,Any,"State govts, SPVs, and cluster industries aiming to upgrade industrial infrastructure."
National Industrial Corridor Development and Implementation Trust (NICDIT),DPIIT,Develops world-class industrial corridors and smart cities to boost industrial growth.,https://www.myscheme.gov.in,21,None,Any,Any,Null,Govt Entity / Private Developer,Any,Any,Any,Central,None,Any,Any,Govt agencies and developers in notified industrial zones and smart city projects.
Scheme for Investment Promotion,DPIIT,"Promotes investments in India through outreach, branding, and facilitation services.",https://www.myscheme.gov.in,21,None,Any,Any,Null,Investment Promotion Agency / Industry Body,Any,Any,Any,Central,None,Any,Any,Organizations promoting industrial investments in India under DPIIT guidance.
Fund of Funds,DPIIT,Supports AIFs to invest in startups as part of Startup India initiative.,https://www.myscheme.gov.in,18,None,Any,Any,Null,SEBI-Registered AIF / Startup,Any,Any,Any,Central,None,Any,Any,SEBI-registered AIFs and Indian startups receiving venture funding.
Fund of Funds 2.0,DPIIT,Expansion of the Fund of Funds initiative to deepen support for the startup ecosystem across sectors.,https://www.myscheme.gov.in,18,None,Any,Any,Null,SEBI-Registered AIF / Startup,Any,Any,Any,Central,None,Any,Any,AIFs investing in Indian startups across various sectors under Startup India expansion.
Startup India,DPIIT,"Provides support through regulatory easing, funding, incubation, and skill development.",https://www.myscheme.gov.in,18,None,Any,Any,Null,DPIIT-Recognized Startup,Any,Any,Any,Central,None,Any,Any,Startups recognized by DPIIT meeting innovation and age criteria.
Startup India Seed Fund Scheme (SISFS),DPIIT,Provides financial assistance to early-stage startups through incubators.,https://www.myscheme.gov.in,18,None,Any,Any,Null,DPIIT-Recognized Startup,Any,Any,Any,Central,None,Any,Any,Startups with innovative ideas and limited funding supported via DPIIT incubators.
Ease of Doing Business,DPIIT,Implements reforms to make it easier to start and operate a business in India.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Business Owner / Entrepreneur,Any,Any,Any,Central,None,Any,Any,Applicable to all businesses across sectors benefiting from policy reforms.
