IPC Section,Name,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
29,“Document”,Any matter expressed upon any substance with intent to be used as evidence,"This section defines what constitutes a ""document"" and does not impose punishment. Punishment depends on offences like forgery (Sec 463) using such documents.","Not applicable – defines a term, not an offence. Bailability depends on the specific offence (e.g., forgery: Non‑Bailable).","Not applicable – defines a term, not an offence. Cognizability depends on the specific offence (e.g., forgery: Cognizable).",Definitions
29A,“Electronic record”,"As defined in the Information Technology Act, 2000","This section defines a legal concept and does not impose punishment on its own. Punishment depends on offences involving electronic records (e.g., electronic fraud).","Not applicable – this section defines a concept, not an offence. Bailability depends on the offence involving electronic records.","Not applicable – this section defines a concept, not an offence. Cognizability depends on the offence involving electronic records.",Definitions
30,“Valuable security”,Document securing legal right or obligation,This section defines “valuable security” and does not impose punishment directly. Relevant offences like forgery (Sec 463) prescribe punishment using such documents.,"Not applicable – this section defines a concept, not an offence. Bailability depends on the offence involving a valuable security.","Not applicable – this section defines a concept, not an offence. Cognizability depends on the offence involving a valuable security.",Definitions
31,“A will”,Legal declaration of testamentary intention,"This section defines a legal concept and does not impose punishment directly. Punishment depends on offences involving a will (e.g., forgery of will).","Not applicable – this section defines a concept, not an offence. Bailability depends on the offence involving a will.","Not applicable – this section defines a concept, not an offence. Cognizability depends on the offence involving a will.",Definitions
32,Words referring to acts include illegal omissions,Omissions count as acts if legally bound to act,This section defines a legal concept and does not impose any punishment directly. Punishment depends on the offence where an omission is treated as an act.,"Not applicable – this section defines a concept, not an offence. Bailability depends on the offence where this concept is applied.","Not applicable – this section defines a concept, not an offence. Cognizability depends on the offence where this concept is applied.",Explanation
33,"“Act”, “Omission”",Act = single or series of acts; Omission = not doing something legally bound to do,This section defines these legal concepts and does not impose punishment directly. Punishment depends on the offence where acts/omissions are involved.,"Not applicable – defines legal terms, not offences. Bailability depends on the offence where these apply.","Not applicable – defines legal terms, not offences. Cognizability depends on the offence where these apply.",Definitions
34,Acts done by several persons in furtherance of common intention,Each is liable as if done by them individually,This section defines liability and does not specify punishment directly. Punishment depends on the actual offence committed by the group.,"Not applicable – defines shared intention, not an offence. Bailability depends on the primary offence.","Not applicable – defines shared intention, not an offence. Cognizability depends on the primary offence.",Constructive Liability
35,When act is criminal due to knowledge or intention,Defines liability when acts become criminal due to shared knowledge or intention among participants. …,This section defines shared criminal intent and does not specify punishment directly. Punishment depends on the underlying offence.,"Not applicable – defines mental element, not an offence. Bailability depends on the underlying offence.","Not applicable – defines mental element, not an offence. Cognizability depends on the underlying offence.",Constructive Liability
36,Effect caused partly by act and partly by omission,"Clarifies that a combination of act and omission causing the same effect constitutes the same offence, e.g., murder by act + withholding food.",This section defines combined act/omission liability and does not prescribe punishment directly. Punishment depends on the relevant offence.,"Not applicable – defines legal concept, not an offence. Example: In Sec 338 (Causing grievous hurt by negligence), omission makes it Bailable.","Not applicable – defines legal concept, not an offence. Example: In Sec 338, omission makes it Cognizable.",Constructive Liability
37,Co-operation by doing one of several acts,"States that if several people cooperate by performing different acts that together constitute an offence, each is liable for the offence.","This section defines co‑participation liability and does not prescribe punishment directly. Punishment depends on the offence committed, such as murder or theft.","Not applicable – defines co‑operation, not an offence. Example: In Sec 395 (Dacoity), each participant makes the act Non‑Bailable.","Not applicable – defines co‑operation, not an offence. Example: In Sec 395, each participant makes the act Cognizable.",Constructive Liability
38,Persons concerned may be guilty of different offences,"Even if involved in one act, different individuals can be guilty of different crimes",This section defines varied liability and does not prescribe punishment. Punishment depends on each person’s specific offence.,"Not applicable – defines varied liability, not an offence. Example: In a robbery, one may face Sec 392 (Non‑Bailable) while another faces Sec 411 (Bailable).","Not applicable – defines varied liability, not an offence. Example: The robbery itself under Sec 392 is Cognizable.",Constructive Liability
39,“Voluntarily”,"“Voluntarily” means doing an act with intention or knowledge that it’s likely to cause a certain effect—e.g., burning a house at night knowing people may die is voluntary.","This section defines the mental element of voluntariness; it does not prescribe punishment. Punishment depends on the specific offence (e.g., murder under Sec 302).","Not applicable – defines intent, not an offence. Example: Sec 302 (Murder) based on voluntariness is Non‑Bailable.","Not applicable – defines intent, not an offence. Example: Sec 302 is a Cognizable offence based on voluntariness.",Definitions
40,“Offence”,"Defines “offence” as an act or omission punishable by law, specifying what qualifies as a legal wrong.",Definition only—no direct punishment here. Punishment depends on the actual offence committed (as per other sections).,"Not applicable – defines what an offence is. Example: In any offence (e.g., theft Sec 378), bailability depends on that specific offence",Not applicable – defines nature of offence. Cognizability depends on the actual offence committed.,Definitions
41,“Special law”,Refers to laws that apply to particular situations or groups—IPC applies unless a special law overrides it.,This section defines a legal principle; it does not impose punishment. Punishment depends on the special law in question.,"Not applicable – defines a principle, not an offence. Bailability depends on the relevant special law.","Not applicable – defines a principle, not an offence. Cognizability depends on the relevant special law.",Definitions
42,“Local law”,Refers to laws specific to a region; IPC applies unless local legislation provides otherwise.,Definition only—no punishment prescribed here. Punishment depends on the local or central law where applicable.,"Not applicable – defines a principle, not an offence. Bailability depends on the local or central offence.","Not applicable – defines a principle, not an offence. Cognizability depends on the local or central offence.",Definitions
43,"“Illegal”, “Legally bound to do”","Defines acts that are illegal or mandated, clarifying what obligations are legal.",Definition only—depends on offences that violate or fulfill such legal obligations. Punishment follows the relevant offence section.,"Not applicable – defines obligation, not an offence. Bailability depends on the violation/offence.","Not applicable – defines obligation, not an offence. Cognizability depends on the violation/offence.",Definitions
44,“Injury”,"Defines “injury” as any harm caused to a person’s body, mind, reputation, or property.",Definition only—no punishment itself. Punishment depends on offences like hurt (Sec 323) or grievous hurt (Sec 320).,"Not applicable – defines harm, not an offence. Example: Sec 323 (Simple hurt) is Bailable.","Not applicable – defines harm, not an offence. Example: Sec 323 is Cognizable.",Definitions
45,“Life”,Defines “life” in legal terms—until natural death or survival post-birth.,"Definition only—no punishment. Punishment follows offences involving harm to life (e.g., murder Sec 300).","Not applicable – defines life, not an offence. Bailability depends on life-related offences (e.g., murder: Non‑Bailable).","Not applicable – defines life, not an offence. Cognizability depends on life-related offences (e.g., murder: Cognizable).",Definitions
46,“Death”,"Defines “death” as the end of life for all practical purposes in law, including brain death.","Definition only—no punishment itself. Punishment depends on offences causing death (e.g., culpable homicide Sec 299, murder Sec 300).","Not applicable – defines death, not an offence. Bailability depends on death-related offences (e.g., murder: Non‑Bailable).","Not applicable – defines death, not an offence. Cognizability depends on death-related offences (e.g., murder: Cognizable).",Definitions
47,“Animal”,"Defines “animal” as any living creature other than a human. This includes beasts, birds, and insects.","Definition only — no direct punishment. Offences involving cruelty to animals (e.g., Sec 428) carry penalties.",Not applicable — this is a definition. Example: Offence under Sec 428 is Cognizable & Non-Bailable.,Not applicable — this is a definition. Sec 428 is Cognizable.,Definitions
48,“Vessel”,Defines “vessel” as any craft designed for water transport of people or goods.,Definition only — no direct punishment. Offences like theft or damage to vessels are penalized under sections like Sec 406/381.,Not applicable — this is a definition. Example: Theft of parts from a vessel (Sec 379) is Bailable.,Not applicable — this is a definition. Theft (Sec 379) is Cognizable.,Definitions
49,"“Year”, “Month”","Establishes that “year” and “month” are based on the Gregorian calendar, unless context changes meaning.",Definition only — no punishment. Time-period offences refer back to criminal sections specifying penalties.,"Not applicable — this is a definition. Example: In offences like breach of trust using time limits, bailability depends on that offence.",Not applicable — this is a definition. Cognizability depends on the specific offence.,Definitions
50,“Section”,Defines “section” as a clause or numbered part of this Code.,Definition only — no punishment.,Not applicable — this is a definition. Bailability depends on the offence being referenced.,Not applicable — this is a definition. Cognizability depends on the offence.,Definitions
51,“Oath”,Defines an “oath” as any promise or declaration before a court or public officer.,Definition only — no punishment. False oaths fall under Sec 193.,Not applicable — this is a definition. Example: Offence under Sec 193 (False Evidence) is Non-Bailable.,Not applicable — this is a definition. Sec 193 is Cognizable.,Definitions
52,“Good faith”,"Defines “good faith” as acting with honest intentions, without intent to defraud or harm.","Definition only — no punishment. Actions done in good faith may be legally protected (e.g., Sec 81).",Not applicable — this is a definition. Example: Performing an act in good faith (Sec 81) is Bailable.,Not applicable — this is a definition. Sec 81 acts are Cognizable.,Definitions
52A,“Harbour”,"Defines “harbour” as sheltering or aiding an offender—like providing transport, shelter, weapons, etc.","Definition only — no punishment. Offences like harbouring offenders are penalized under Sec 212, 216.",Not applicable — this is a definition. Example: Sec 212 (Harbouring offender) is Bailable.,Not applicable — this is a definition. Sec 212 is Cognizable.,Definitions
53,Punishments,"Lists types of punishment: death, life imprisonment, imprisonment (rigorous/simple), forfeiture of property, and fine","Lists punishment types; the actual punishment depends on the offence—for example, murder (Sec 302) may carry death or life imprisonment.","Not applicable – defines punishment types, not an offence. Examples: Sec 302 murder is Non‑Bailable, simple offences are Bailable.","Not applicable – defines punishment types, not an offence. Cognizable status depends on the offence (e.g., theft Sec 379 is Cognizable).",Punishment Classification
53A,Construction of reference to transportation,"Treats “transportation for life” in older laws as “imprisonment for life,” and skips references to shorter transportation terms",Definition-only section—no punishment here. It clarifies sentencing terms used in other laws. Actual punishment from offences remains unchanged.,"Not applicable – defines sentencing terms, not an offence. Example: If a related death sentence is commuted to transportation (life), it is Non‑Bailable.","Not applicable – defines sentencing terms, not an offence. Cognizability is inherited from the underlying offence.",Interpretation
54,Commutation of sentence of death,Allows the “appropriate Government” to commute a death sentence to any other punishment under IPC (like life imprisonment) without offender’s consent.,Administrative power for commuting death sentences; no direct punishment. Example: death penalty commuted to life imprisonment.,Not applicable – deals with administrative power post-sentence. Example: The commuted life sentence (Sec 299/300) remains Non‑Bailable.,Not applicable – deals with administrative power post-sentence. Cognizability depends on the resulting offence.,Sentence Modification
55,Commutation of life imprisonment,Grants appropriate Government ability to commute life sentences to imprisonment up to 14 years or less-severe punishment.,Administrative only—no new offence. Example: life imprisonment may be reduced to a term not exceeding 14 years.,Not applicable – administrative in nature. Example: The commuted sentence will be Bailable/Non‑Bailable as per that offence.,Not applicable – administrative in nature. Cognizability depends on the resulting offence.,Sentence Modification
55A,"""Appropriate Government""",Defines which Government (Central or State) handles sentence commutation cases based on the severity or jurisdiction of the offence.,"Definition-only—no punishment. Specifies authorities empowered to commute death, life, or fixed-term sentences.",Not applicable – defines administrative authority. Example: Commutation by Central Government under Sec 54 doesn't affect bail directly.,Not applicable – defines administrative authority. Cognizability remains with the underlying offence post-commutation.,Definitions
57,Fractions of terms of punishment,"States that “imprisonment for life” should be treated as 20 years when calculating sentence fractions (e.g., for remission or proportionate sentencing).",Definition-only—no punishment. Provides clarity when calculating portions of life imprisonment terms.,"Not applicable – defines sentencing terms only. Example: if calculating half remission, a 20-year equivalent is used, no bail impact.",Not applicable – defines sentencing terms only. Cognizability remains unaffected; it's not an offence.,Interpretation
60,Sentence may be partly rigorous or simple,Allows courts to specify whether imprisonment (where either rigorous or simple is applicable) should be wholly one type or mixed.,"Definition-only—specifies sentencing structure. Actual punishment depends on the offence (e.g., Sec 304A may involve simple or rigorous imprisonment).","Not applicable—structure for imprisonment, not an offence. Example: Sentences under Sec 304A are generally Bailable.","Not applicable—structure only. Example: Crimes under this section's sentencing structure are typically Cognizable, following the specific offence (e.g., Sec 304A).",Sentencing Flexibility
63,Amount of fine,Court may impose any amount of fine unless limits are specified,Definition-only—sets limits on fines. Actual fine imposed depends on the offence and judicial discretion.,"Not applicable—a guideline on fine amount, not an offence. Example: Under Sec 379 (Theft), fines are Bailable unless stated otherwise.","Not applicable—guideline, not an offence. Example: Theft under Sec 379 is Cognizable with or without fine, per context.",Sentencing
64,Imprisonment for non-payment of fine,"If someone unable to pay a fine accompanying imprisonment, court may order additional imprisonment in default.","Default imprisonment is additional punishment, deemed part of sentencing, not separate.","Not applicable—but default imprisonment is typically Bailable, as it stems from a fine-based offence.","Not applicable—default imprisonment mirrors cognizability of the original offence, so if that offence is Cognizable, so is the default imprisonment.",Default Punishment
65,Limit to imprisonment when both fine and imprisonment are awarded,Sets a maximum term for default imprisonment: no more than one-fourth of the maximum jail term for the primary offence.,"Definition-only—caps default imprisonment. Actual term is calculated per offence (e.g., theft carries up to 3 yrs, so default ≤ 9 months).","Not applicable—applies to default imprisonment, not an offence. Example: Theft default jail under Sec 65 is Bailable.","Not applicable—applies to default imprisonment. Cognizable status follows the original offence (e.g., Sec 379 is Cognizable).",Sentencing Rules
66,Description of imprisonment for non-payment of fine,"Court may impose any type of imprisonment (rigorous/simple) the offender could have received for the offence, in default of fine.",Definition-only—sets the kind of default imprisonment. No standalone punishment; it forms part of the sentence for non-payment.,"Not applicable—applies to default imprisonment. Example: For offences punishable by rigorous imprisonment, default imprisonment under Sec 66 can also be Non‑Bailable.",Not applicable—applies to default imprisonment; cognizability mirrors the original offence’s status.,Sentencing Rules
67,Imprisonment for default when offence punishable with fine only,"If an offence is punishable by fine only and the fine isn’t paid, default imprisonment is simple and limited (≤2 months for ≤₹50; ≤4 months for ≤₹100; ≤6 months otherwise).",Up to 2 months to 6 months based on fine amount,"Not applicable—but since the offence is minor, both the original offence and the default imprisonment are Bailable.","Not applicable—default imprisonment is administrative. But since these are minor offences, they are typically Cognizable under CrPC.",Default Punishment
68,Termination of imprisonment on payment,"If fine is paid (or enforced) after default imprisonment started, the jail term terminates immediately",Definition-only—no new penalty. The imprisonment ends on payment.,"Not applicable—stipulates termination, not an offence. Example: Fine default arrest ends, and no bail is involved.",Not applicable—termination clause does not involve cognizability; jail term ended legally.,Sentencing Relief
69,Termination on proportional payment,"If part of the fine is paid before full furlough time, imprisonment ends earlier in proportion.",Definition-only—no extra punishment; it's a conditional reduction clause allowing proportional reduction of jail time.,"Not applicable—but illustrates finality: as default jail is administrative, it doesn't involve separate bail.",Not applicable—but legal process continues; no cognizability issues since imprisonment is quota-based.,Sentencing Relief
70,Fine recoverable for 6 years or during imprisonment,Specifies the time limit (6 years) for collecting fines; death of offender doesn’t eliminate the liability to pay,Definition-only—affects legal liability but does not create a punishment. Offences with fines carry punishments per their sections.,"Not applicable—addresses collection, not bail. Example: For theft fines, Bailability isn’t affected.","Not applicable—addresses collection, not charge; cognizability remains tied to the offence.",Recovery Provisions
71,Limit of punishment for compound offences,Offender shall not be punished for more than the maximum of the gravest offence,Definition – no direct punishment. The most serious offence governs sentencing.,"N/A – not an offence. Example: If theft (Sec 379, Bailable) and hurt (Sec 323) both apply, bail follows theft.",N/A – not an offence. Example: Theft (Sec 379) is Cognizable.,Sentencing Limit
72,Doubt in judgmentnot specifiedguilty of one of several offences,Minimum punishment among doubtful offences applied,No standalone punishment; court applies the lighter penalty.,"Not Applicable – Bail depends on the lighter offence chosen by the court. Example: If uncertain between Sec 323 (Bailable) or Sec 325 (Non‑Bailable), bail follows Sec 323.",Not Applicable – This section doesn’t define an offence. Cognizability follows from the lighter offence applied (Sec 323 is Cognizable).,Sentencing Limit
73,Solitary confinement,Allowed in case of rigorous imprisonment not exceeding 3 months,Max 3 months in total,Not Applicable – Bail is determined by the primary offence leading to solitary confinement.,Not Applicable – No direct offence; cognizability depends on the primary offence.,Sentencing Type
74,Limit of solitary confinement,"Max 14 days at a time, intervals of at least 14 days, not >3 months in total",No penalty; procedural safeguard.,Not applicable — Bail status depends on the primary offence.,"Not applicable — Cognizability unaffected, tied to the original offence.",Sentencing Rules
75,Enhanced punishment for repeat offenders,"If convicted again under Chapters XII or XVII, may face enhanced punishment","Applies enhanced penalties for subsequent offences. For instance, a second conviction for attempted murder (Sec 307): life or ≤10 years RI + fine.",Not applicable — Bail permission reflects the upgraded sentence; second offence becomes Non‑Bailable.,Not applicable — Cognizability follows the repeat offence — always requires an FIR.,Habitual Offenders
76,Act done by person bound or by mistake of fact believing himself bound by law,No offence if act done under legal compulsion or mistake of fact believing so,"No punishment—acts covered under this section are excused completely. If later found to be a crime, the actual offence’s penalty applies.","Not applicable—There’s no offence, so no bail is required. However, if a related offence (e.g., wrongful confinement) is charged incorrectly, bail depends on that charge.",Not applicable—No FBI or charges unless a court finds the belief unreasonable. Acts under Sec 76 are not cognizable offences.,General Exception
77,Act of Judge acting judicially,No offence if Judge acts judicially in good faith,No punishment—judicial orders are not crimes. Misconduct is covered under judicial discipline.,"Not Applicable – This section itself isn’t a crime. A judge acting judicially cannot be arrested or required to seek bail. Even if allegations of overreach arise, proceedings can only occur after approval from higher judiciary under judicial accountability frameworks.",Not Applicable – Police cannot register FIR against a judge acting judicially. Only High Courts/Supreme Court may initiate action for misconduct outside jurisdiction.,General Exception
78,Act done under Court judgment/order,No offence for acts done under Court orders in good faith,No punishment—such acts are excused unless done maliciously or outside scope of order.,No punishment—such acts are excused unless done maliciously or outside scope of order.,"Not Applicable – Police cannot take cognizance for good faith acts under court orders. If abuse of power occurs, cognizability depends on resulting offence.",General Exception
79,Act justified or by mistake of fact believing so,No offence if act done justified by law or believed to be so by mistake of fact,No punishment—acts fitting this section are fully excused.,"Not Applicable – No offence = no bail issue. If mistaken belief is rejected and actual offence charged (e.g., unlawful arrest under Sec 342), then bail depends on that offence (Sec 342 = Bailable).","Not Applicable – No FIR required if good faith proven. If mistaken belief fails and an offence is charged, police may act depending on that offence’s cognizability.",General Exception
80,Accident in doing lawful act,No offence if harm caused by accident while doing lawful act with proper care,"No punishment if accident proven. If negligence proven, Sec 304A applies: ≤2 yrs RI or fine or both.","Not Applicable – No bail needed where accident excused. However, if negligence is proven and Sec 304A applies (death by negligence), then bail is allowed since Sec 304A is Bailable.","Not Applicable – No FIR needed if accident excused. If negligence offence (e.g., Sec 304A) applies, it is Cognizable and police can file FIR.",General Exception
81,Act likely to cause harm to prevent greater harm,"If a person, without criminal intent and in good faith, commits an act likely to cause harm in order to prevent greater harm, they are excused from liability.","No punishment under Sec 81. However, if the act is later considered malicious or negligent, relevant sections apply. E.g., Sec 304A (death by negligence) — ≤2 years RI or fine or both.","Not Applicable – This section is a defense. No bail is needed unless the protection of Sec 81 fails. If another offence is charged (e.g., Sec 304A), bail is Bailable.","Not Applicable – Police cannot take cognizance if Sec 81 applies. If defence fails and Sec 304A applies, it becomes Cognizable.",General Exception
82,Act of child under 7 years,A child under 7 years of age cannot commit an offence (absolute immunity).,No punishment — children under 7 cannot be held criminally liable.,Not Applicable – No arrest or bail applies since child below 7 cannot be prosecuted.,Not Applicable – Police cannot register FIR against a child under 7; no criminal proceedings possible.,General Exception
83,Act of child 7–12 of immature understanding,A child aged 7–12 is not criminally liable if they lack sufficient maturity to understand the nature of their act or its consequences,"No punishment if immaturity proven. Otherwise, punishment per offence (e.g., theft under Sec 379: ≤3 yrs RI or fine or both).","Not Applicable – If immaturity applies, no offence arises. If not, bail depends on the offence charged. E.g., theft (Sec 379) is Bailable.","Not Applicable – No FIR if immaturity proven. If not, FIR and cognizability depend on offence (Sec 379 is Cognizable).",General Exception
84,Act of unsound mind,"No offence is committed if a person, due to unsoundness of mind, is incapable of understanding the nature of their act or that it was wrong or against the law.","No punishment if insanity defence succeeds. If rejected, punishment for the offence charged applies (e.g., murder under Sec 302: death or life imprisonment + fine).","Not Applicable – If insanity is proven, no bail needed. If rejected, bail depends on the offence charged. For example, murder (Sec 302) is Non‑Bailable.","Not Applicable – No FIR if insanity is accepted. If not, FIR and cognizability follow the offence (Sec 302 is Cognizable).",General Exception
85,Act by intoxication against will,No offence if an act is committed while involuntarily intoxicated (by force or fraud) and the person was incapable of understanding the nature of their act or knowing it was wrong.,"No punishment if intoxication was not voluntary and incapacity proven. If intoxication was voluntary, punishment depends on the offence charged (e.g., Sec 323 for hurt: ≤1 year RI or fine).","Not Applicable – If involuntary intoxication defence succeeds, no bail needed. If not, bail depends on the offence charged. E.g., Sec 323 is Bailable.","Not Applicable – If defence applies, no FIR. If rejected, cognizability depends on offence (Sec 323 is Cognizable).",General Exception
86,Offence requiring specific intent and voluntary intoxication,"Voluntary intoxication does not excuse offences requiring specific intent (e.g., murder or theft). Intoxicated persons are treated as if they had the intent unless proven otherwise.","Punishment depends on the offence (e.g., Sec 302 murder: death or life imprisonment + fine).","Bail depends on offence: e.g., Sec 302 (murder) is Non‑Bailable; Sec 379 (theft) is Bailable.","Cognizability depends on offence: e.g., Sec 302 is Cognizable; Sec 379 is Cognizable.",General Exception
87,Act not intended to cause death or grievous hurt done by consent,No offence if harm is caused by consent of the victim (aged 18+) to acts not intended to cause death or grievous hurt and not known to likely cause it.,"No punishment under Sec 87. If harm exceeds consent’s scope (e.g., grievous hurt), punishment as per offence (e.g., Sec 325: ≤7 years RI + fine)","Not Applicable – If consent applies, no offence → no bail. If not, bail depends on offence (e.g., Sec 325 is Non‑Bailable).","Not Applicable – No FIR if consent proven. If not, cognizability follows offence (Sec 325 is Cognizable).",General Exception
88,Act done by consent for person’s benefit,"A person acting in good faith for another’s benefit, with consent (express or implied), isn’t guilty of an offence—even if harm results—provided there was no intent to cause death.","No punishment under Sec 88. If harm caused due to negligence, related offence (e.g., Sec 304A) applies: ≤2 years RI or fine or both.","Not Applicable – If Sec 88 applies, no offence → no bail. If negligence offence arises (Sec 304A), it is Bailable.","Not Applicable – No FIR if good faith proven. If negligence offence (Sec 304A) charged, it becomes Cognizable.",General Exception
