BNS Section,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
26,"Covers acts done for someone's benefit (e.g. surgery) with that person’s consent, and no intent to cause death.","Not punishable because the act is in good faith and intended to help, not harm.",Bailability and arrest do not apply unless consent was invalid or act was grossly negligent.,Not cognizable unless the act was reckless or consent was fraudulently obtained.,General Exception
27,"Actions taken with guardian consent in the best interest of those unable to consent themselves (e.g., mentally ill or children) are exempt.","Not punishable because of absence of intent and presence of lawful, good-faith consent.",Bailability applies only if there is evidence of abuse or negligence; otherwise not required.,Cognizable if the act results in disproportionate harm or violates medical/legal procedures.,General Exception
28,"Consent is invalid if obtained through coercion or misunderstanding. In such cases, the act remains an offence.",Punishable because the law does not accept consent obtained under threat or deception as real consent.,"Bailability depends on the underlying act; if consent is proven invalid, normal penal consequences follow.",Cognizable if the offence committed is serious and consent is proven to be improperly obtained.,General Exception
29,"Certain acts are considered crimes regardless of whether they result in actual harm. For example, assault or attempt to commit a crime.","Punishable because the law criminalizes the act itself, not just its consequence.","Bailability and cognizability depend on the specific offence, as the clause refers to the principle of “act being inherently criminal.”",Cognizable if the nature of act makes it criminal even without harm — such as attempt to murder.,General Exception
30,"If someone cannot give consent (due to unconsciousness, accident, etc.), and another acts in good faith to help, they are not liable.","Not punishable because it is unreasonable to expect consent when urgent help is needed, and the act is done with good intent.",Bail or arrest is not needed unless harm results and good faith is disputed in court.,"Not cognizable unless the act turns out to be negligent, or is clearly unjustified.",General Exception
31,"Honest communication made in good faith, even if it causes offence or emotional harm, is not criminal. This protects whistleblowers, advisors, or medical professionals giving difficult advice.",Not punishable as long as there’s no malice or intent to harm; good faith is a valid defence.,"Bailability and arrest are not applicable unless the communication violates another specific law (e.g., defamation with malice).","Not cognizable unless accompanied by falsehood, threat, or incitement leading to criminal harm.",General Exception
32,An act committed under coercion or unlawful threat (except murder or certain grave offences) is excused.,Not punishable if it is proven that the person acted under threat that overpowered their free will.,Bail may be granted while investigating if coercion claim is valid; the person is treated as a victim of force.,"Cognizable if the compelled act is serious, but the coercer becomes the primary accused.",General Exception
33,Acts that cause trivial or minimal harm without criminal intent are excused under this clause.,Not punishable because the law disregards negligible harm unless repeated or deliberate.,Bail is not applicable as criminal action itself is not initiated unless the act is shown to be habitual or done with malice.,Not cognizable because police do not register FIRs or make arrests for trifling injuries or irritations.,General Exception
45,"Instigation, conspiracy, or intentional aid to commit an offence.",Same as the offence abetted. Example: abetting theft results in up to 3 years imprisonment and fine.,"Depends on act abetted. Theft is bailable, murder is non-bailable.","Depends on act abetted. Theft is cognizable, cheating is non-cognizable.",Abetment
46,A person who abets an offence is called an abettor.,Same as the offence committed. Example: abettor of rape receives the punishment for rape.,"Follows the classification of the main offence. Rape is non-bailable, theft is bailable.","Follows the classification of the main offence. Rape is cognizable, defamation is non-cognizable.",Abetment
47,"If the act done abroad would be a crime in India, the abettor is punished under Indian law.",Treated as committed in India. Example: abetting bribery abroad is punished under Indian anti-corruption laws.,Based on the equivalent offence under Indian law. Corruption is non-bailable.,Based on the equivalent offence under Indian law. Corruption is cognizable.,Abetment
48,"The offence is committed in India, and the abettor acts from abroad.",Treated as if committed in India. Example: abetting cybercrime in India from abroad attracts punishment under the IT Act.,"Depends on the offence. Cyberterror is non-bailable, identity theft is bailable.","Depends on the offence. Cyberterror is cognizable, email spoofing is non-cognizable.",Abetment
49,When the act is committed due to abetment but has no separate punishment clause.,Same as the offence committed. Example: abetting breach of contract carries the same punishment as breach of contract.,Based on the offence committed. Breach of contract is generally bailable.,Based on the offence committed. Usually non-cognizable unless severe.,Abetment
50,Person does the act with intent different from that of the abettor.,"Based on the abettor's intent. Example: abettor plans robbery, doer believes it’s a prank — robbery laws still apply.",Robbery is non-bailable.,Robbery is cognizable.,Abetment
51,"A different act is committed than the one abetted, but it is a probable consequence.","Same as the actual offence. Example: abetting theft, but murder happens — abettor is punished for murder.",Murder is non-bailable.,Murder is cognizable.,Abetment
52,Both the act abetted and the act done are punishable.,Punishment for both acts. Example: abetting cheating and forgery results in punishment for both.,"Cheating is bailable, forgery is non-bailable.","Cheating is non-cognizable, forgery is cognizable.",Abetment
53,"A different result occurs from what was intended, but it was foreseeable.",Punishment for the actual effect. Example: abetting a fight that leads to death — abettor is punished for homicide.,Homicide is non-bailable.,Homicide is cognizable.,Abetment
54,"If the abettor is present when the offence is committed, they are treated as the main offender.",Same as the main offence. Example: present during robbery means punishment as for robbery (10 years + fine).,Robbery is non-bailable.,Robbery is cognizable.,Abetment
55,"Abetting an offence punishable with death or life imprisonment, if not committed.",Up to 7 years + fine. Example: abetting planned murder that doesn't happen.,Non-bailable,Cognizable,Abetment
56,Abetting any offence punishable with imprisonment (not death/life) that is not committed.,Up to one-fourth of the longest term provided for the offence. Example: abetting theft which doesn't occur = up to 9 months.,Bailable (generally),Non-cognizable (generally),Abetment
57,Instigating a mob (more than 10 people) to commit an offence.,Same as abetted offence. Example: abetting mob violence = full punishment for mob crime.,Non-bailable (typically),Cognizable,Abetment
58,Intentionally hiding plans to commit serious offences.,Up to 7 years + fine. Example: hiding a plan for terror attack.,Non-bailable,Cognizable,Concealment
59,A public servant knowingly fails to prevent a serious offence.,Up to 7 years + fine. Example: a police officer ignores a murder plot.,Non-bailable,Cognizable,Concealment by Public Servant
60,Hiding the plan to commit an imprisonable offence (less than life/death).,Up to 3 years + fine. Example: not informing police about a planned robbery.,Bailable,Non-cognizable,Concealment
61,Agreement between two or more persons to commit an illegal act.,"Same as offence conspired. If no act is done, up to 6 months + fine. Example: conspiracy to murder = murder punishment.",Non-bailable if serious. Otherwise bailable.,Cognizable if offence conspired is cognizable.,Conspiracy
62,Attempting to commit any offence punishable with life or imprisonment.,Punishment up to half the term of the offence. Example: attempt to murder = up to 10 years.,Non-bailable (if serious),Cognizable,Attempt
63,"Non-consensual sexual intercourse under defined circumstances, including threat, coercion, or incapacity.","Imprisonment of not less than 10 years, may extend to life, + fine.",Non-bailable,Cognizable,Sexual Offence
64,General punishment clause for rape.,Rigorous imprisonment for 10 years to life + fine.,Non-bailable,Cognizable,Sexual Offence
65,"Rape of minor (under 16), pregnant woman, or by persons in authority.",Minimum 20 years to life or death in extreme cases.,Non-bailable,Cognizable,Sexual Offence
66,When rape results in victim’s death or permanent vegetative state.,Life imprisonment or death.,Non-bailable,Cognizable,Sexual Offence
67,Forced intercourse by husband during judicial separation.,Imprisonment up to 2 years + fine.,Bailable,Cognizable,Sexual Offence (Marital)
68,Abuse of official/educational/superior authority to force intercourse.,5 to 10 years + fine.,Non-bailable,Cognizable,Sexual Offence
69,"Obtaining intercourse through false identity, false promises of marriage, job, etc.",10 years to life + fine.,Non-bailable,Cognizable,Sexual Offence
70,Rape committed by two or more persons acting together.,"Life imprisonment for each offender, minimum 20 years, or death.",Non-bailable,Cognizable,Sexual Offence
71,Repeat offence of rape under Clause 64 or 65.,Imprisonment for life or death.,Non-bailable,Cognizable,Sexual Offence
72,Printing or publishing the identity of rape victim without consent or court order.,Up to 2 years + fine.,Bailable,Cognizable,Procedural Offence
73,Publication of court proceedings related to sexual offences without prior approval.,Up to 2 years + fine.,Bailable,Cognizable,Procedural Offence
74,Any physical act intending to insult or outrage the modesty of a woman.,Up to 3 years + fine.,Bailable,Cognizable,Assault on Woman
75,"Unwelcome physical contact, advances, or sexually colored remarks.",Up to 3 years + fine for physical contact; up to 1 year + fine for verbal/gestural acts.,Bailable,Cognizable,Sexual Harassment
76,Intentional use of force to disrobe or compel disrobing of a woman.,"Not less than 3 years, may extend to 7 years + fine.",Non-bailable,Cognizable,Sexual Assault
77,Watching or capturing the image of a woman engaging in private acts without her consent.,First offence: 1 to 3 years + fine; Second offence: 3 to 7 years + fine.,"First offence: Bailable, Second: Non-bailable",Cognizable,Privacy Offence
78,Following a woman or contacting her repeatedly despite disinterest.,First offence: Up to 3 years + fine; Repeat offence: Up to 5 years + fine.,"First offence: Bailable, Second: Non-bailable",Cognizable,Harassment
79,"Speaking, gesturing, or acting in a way intended to insult a woman’s modesty.",Up to 3 years + fine.,Bailable,Cognizable,Verbal Assault
80,"Death of a woman caused by burns, injuries, or unnatural circumstances within 7 years of marriage and linked to dowry harassment.","Not less than 7 years, may extend to life imprisonment.",Non-bailable,Cognizable,Dowry / Marriage Offence
81,A man causes a woman to cohabit or have sexual relations by making her believe they are lawfully married.,Up to 10 years + fine.,Non-bailable,Cognizable,Marriage Fraud
82,Bigamy – marrying another person while the first spouse is still alive and marriage not legally dissolved.,Up to 7 years + fine.,Bailable,Non-cognizable,Bigamy
83,Performing a marriage ceremony without intention or legal authority to marry.,Up to 7 years + fine.,Bailable,Non-cognizable,Marriage Fraud
84,Taking or keeping a married woman away from her husband with criminal intent.,Up to 2 years + fine.,Bailable,Non-cognizable,Abduction / Enticement
85,Any physical or mental cruelty inflicted by husband or his relatives.,Up to 3 years + fine.,Non-bailable,Cognizable (upon complaint by victim or her relative),Domestic Violence
87,Forcefully taking or inducing a woman to marry someone or be forced into illicit relations.,Up to 10 years + fine.,Non-bailable,Cognizable,Kidnapping / Forced Marriage
88,Intentionally causing a woman to miscarry without lawful justification (not in good faith to save her life).,Up to 3 years + fine if woman not quick with child; up to 7 years if quick with child.,Bailable,Non-cognizable,Miscarriage
89,Forcing a woman to miscarry without her consent.,Up to 10 years + fine.,Non-bailable,Cognizable,Forced Miscarriage
90,"Woman dies due to act intended to cause miscarriage, whether with or without consent.",Up to 10 years if with consent; life imprisonment if without consent.,Non-bailable,Cognizable,Miscarriage Resulting in Death
91,Any act intended to stop a child from being born alive or to cause its death after birth.,Up to 10 years + fine.,Non-bailable,Cognizable,Prenatal Homicide
92,Death of a viable unborn child caused by an act that would amount to culpable homicide if committed against a person.,Up to 10 years + fine.,Non-bailable,Cognizable,Foetal Homicide
93,"A parent or guardian abandons or exposes a child under 12 years, endangering its life.",Up to 7 years + fine.,Bailable,Cognizable,Child Endangerment
94,"Secretly disposing of a dead child’s body to conceal birth, regardless of whether the child was born alive.",Up to 2 years + fine or both.,Bailable,Non-cognizable,Concealment
95,Employing or using a child to commit any illegal act.,Same punishment as for the offence committed.,Follows underlying offence (serious ones = non-bailable).,Cognizable,Child Exploitation
96,"Bringing or enticing a child for purposes like prostitution, illicit intercourse, slavery, etc.",Up to 10 years + fine.,Non-bailable,Cognizable,Child Trafficking
97,Taking a child under 10 with the intent to steal jewelry or belongings.,Up to 7 years + fine.,Non-bailable,Cognizable,Child Kidnapping
98,"Selling or disposing of a child for purposes of prostitution, sexual abuse, or other immoral acts.",Up to life imprisonment + fine.,Non-bailable,Cognizable,Child Trafficking
99,Buying or obtaining possession of a child for immoral purposes like prostitution or slavery.,Up to life imprisonment + fine.,Non-bailable,Cognizable,Child Trafficking
100,"Causing death with intent or knowledge, not amounting to murder.",Up to life imprisonment or 10 years + fine.,Non-bailable,Cognizable,Homicide
101,"Causing death with intent and knowledge, falling under full definition of murder.",Death or life imprisonment + fine.,Non-bailable,Cognizable,Murder
102,Death caused to someone other than the intended victim.,Punishment as if intended person was killed.,Non-bailable,Cognizable,Homicide
103,General punishment clause for murder.,Death or life imprisonment + fine.,Non-bailable,Cognizable,Murder
104,Life convict commits murder during sentence.,Death or life imprisonment.,Non-bailable,Cognizable,Murder
105,Where intention is present but circumstances reduce gravity.,Up to 10 years or life imprisonment + fine.,Non-bailable,Cognizable,Homicide
106,Negligent act not amounting to culpable homicide (e.g. rash driving).,Up to 5 years + fine; 10 years if death of multiple persons.,Bailable,Cognizable,Negligent Homicide
107,Assisting suicide of child (<18) or person of unsound mind.,Minimum 10 years to life imprisonment + fine.,Non-bailable,Cognizable,Abetment of Suicide
108,Instigating or aiding someone to commit suicide.,Up to 10 years + fine.,Non-bailable,Cognizable,Abetment of Suicide
109,Attempting to cause death with intent.,Up to 10 years + fine; life if injury caused.,Non-bailable,Cognizable,Attempt to Murder
110,"Attempt with knowledge or intent, but without causing death.",Up to 7 years + fine.,Non-bailable,Cognizable, Attempt to Homicide
111,"Crime committed by a group or network for economic gain, coercion, violence, or intimidation (e.g., extortion rackets, contract killings, trafficking).",Death or life imprisonment and fine of ₹10 lakh.,Non-bailable,Cognizable,Organised Crime
112,"Lower-level but repeated or coordinated criminal acts (e.g., pickpocketing rings, chain snatching, local extortion gangs).",1 to 7 years + fine.,Non-bailable,Cognizable,Petty Organised Crime
113,"Acts intended to threaten unity, integrity, security, or sovereignty of India, or to strike terror in the public.",Death or life imprisonment + fine.,Non-bailable,Cognizable,Terrorism
115,Intentionally causing hurt to another.,"Up to 1 year or fine up to ₹10,000 or both.",Bailable,Non-cognizable,Hurt
117,Intentionally causing grievous hurt.,Up to 7 years + fine.,Bailable,Cognizable,Grievous Hurt
118,"Causing hurt using fire, acid, poison, or deadly weapons.",3 to 10 years + fine depending on severity.,Non-bailable,Cognizable,Aggravated Hurt
119,Hurting someone to extort money/property or force an illegal act.,10 years to life + fine.,Non-bailable,Cognizable,Extortion via Hurt
120,Causing hurt to force confession or recover property.,Up to 10 years + fine.,Non-bailable,Cognizable,Torture for Confession
121,Injuring a public servant to prevent performance of duty.,Up to 10 years + fine.,Non-bailable,Cognizable,Obstruction of Duty
122,Committing hurt in response to grave and sudden provocation.,Up to 3 years + fine.,Bailable,Cognizable,Provoked Hurt
123,Administering poison or similar substance to cause hurt or facilitate a crime.,Up to 10 years + fine.,Non-bailable,Cognizable,Poisoning
124,Intentionally throwing or using acid/chemical to disfigure or harm.,Minimum 10 years to life + fine (paid to victim).,Non-bailable,Cognizable,Acid Attack
126,Illegally obstructing a person so they cannot proceed in a direction they have a right to go.,"Up to 1 month or ₹1,000 fine or both.",Bailable,Non-cognizable,Wrongful Restraint
127,Wrongfully restraining someone in a way that prevents them from proceeding beyond certain limits (i.e. imprisonment without legal authority).,"Up to 1 year or ₹5,000 fine or both.",Bailable,Cognizable,Wrongful Confinement
131,General punishment for unlawful force or assault without serious provocation.,"Up to 3 months or ₹1,000 fine or both.",Bailable,Non-cognizable,Assault / Criminal Force
132,Preventing or threatening a public servant from performing official duties.,Up to 2 years or fine or both.,Bailable,Cognizable,Obstruction of Duty
133,Intentionally using force or assault to insult or shame someone.,Up to 2 years or fine or both.,Bailable,Cognizable,Assault to Insult
134,Attempting theft by using or threatening force against someone carrying property.,Up to 2 years + fine.,Bailable,Cognizable,Robbery Attempt
135,Using force to trap or confine someone unlawfully.,Up to 1 year + fine.,Bailable,Cognizable,Wrongful Confinement
136,Causing assault or using force under sudden and grave provocation.,"Up to 1 month or ₹1,000 fine or both.",Bailable,Non-cognizable,Provoked Assault
137,This clause criminalizes the act of taking or enticing away any child or person out of lawful guardianship without the guardian’s consent. It also includes kidnapping from India or from lawful custody.,"Punishable with imprisonment up to 7 years and fine, as it involves removing a person from legal protection.","Non-bailable, because kidnapping poses a serious threat to the victim’s freedom and safety, and bail is granted only after judicial scrutiny.","Cognizable, since police can register a case and arrest without a warrant due to the urgent need to trace the missing person.",Offences Against the Person
138,"Abduction refers to forcibly or deceitfully taking away any person. Unlike kidnapping, it is not limited to minors or guardianship, but rather the method of taking.","Punishment varies depending on the intent—abduction itself may be punished with imprisonment up to 7 years, but if committed with criminal intent (e.g., murder or ransom), the punishment increases accordingly.","Bailability depends on the intent; if it is plain abduction, it may be bailable, but with criminal purpose, it becomes non-bailable.","Cognizable if committed with intent to commit a serious offence (like ransom or murder), otherwise non-cognizable in isolation.",Offences Against the Person
139,Taking a child to use for begging or intentionally causing injury to exploit them for begging is a heinous crime under this clause.,"Punishable with imprisonment ranging from 10 years to life imprisonment, reflecting the gravity of exploiting children for personal gain.",Non-bailable due to the cruelty and long-term harm inflicted on the child; courts consider the act inhuman and exploitative.,"Cognizable, as immediate police intervention is necessary to rescue the child and prevent continued abuse.",Offences Against Child / Organized Crime
140,"This clause addresses kidnapping or abduction committed with intent to murder, demand ransom, or commit grievous harm. It is one of the most serious forms of abduction.","Punishable with life imprisonment or death, especially in cases of ransom or murder, indicating the highest level of severity in criminal law.","Non-bailable because such acts are considered direct threats to life and public safety, and release on bail may endanger others.",Cognizable since prompt police action is necessary to prevent harm or secure the release of hostages or abductees.,Heinous Crimes / Offences Against Person
141,"Bringing a minor (under 18) into India from another country for illicit purposes such as prostitution, child marriage, or slavery is criminalized under this clause.","Punishable with imprisonment up to 10 years and fine, recognizing the cross-border nature of child trafficking.",Non-bailable because it involves human trafficking and transnational crime with exploitation of vulnerable minors.,"Cognizable since trafficking crimes require urgent investigation and victim protection, allowing police to act immediately.",Human Trafficking / Offences Against Child
142,"This clause criminalizes the act of knowingly hiding or confining a person who has been kidnapped or abducted. Even if the person didn’t commit the original kidnapping, concealing the victim is treated as a serious offence.","Punishable with imprisonment up to 7 years and fine, as it aids and prolongs an illegal act and puts the victim in continued danger.",Non-bailable because it involves active participation in concealing a crime and obstructing justice; the accused must prove lack of intent to obtain bail.,"Cognizable since the concealed victim must be urgently rescued, allowing police to act without court permission.",Offences Against the Person
143,"This provision criminalizes recruiting, transporting, harboring, or receiving persons through coercion, force, fraud, or deception for exploitation. It covers human trafficking broadly, regardless of consent.","Punishable with rigorous imprisonment of not less than 7 years, which may extend to 10 years, and fine, reflecting the seriousness of exploitation.",Non-bailable due to the exploitative and organized nature of the crime; bail is rarely granted except in exceptional circumstances.,"Cognizable since it involves systemic abuse, and authorities must act immediately to stop the trafficking and rescue victims.",Human Trafficking / Organized Crime
144,"This clause penalizes anyone who exploits a trafficked person sexually, physically, or economically after trafficking has occurred. It includes knowingly using their services or harboring them for profit.","Punishable with imprisonment not less than 5 years and may extend to 10 years with fine, depending on the level and nature of exploitation.","Non-bailable as exploitation of trafficked persons is seen as part of organized crime, and the courts must first examine the severity before granting bail.","Cognizable since swift investigation and protection of the trafficked person is necessary, especially when abuse continues.",Human Trafficking / Sexual Offences
145,"This clause targets individuals who repeatedly engage in buying, selling, or trafficking human beings as slaves, indicating habitual conduct.","Punishable with life imprisonment or up to 10 years and fine, recognizing the long-term and repeated nature of human commodification.",Non-bailable because habitual offenders are deemed highly dangerous and are often part of organized trafficking networks.,Cognizable because such offences require immediate law enforcement action to dismantle trafficking chains and rescue victims.,Organized Crime / Human Trafficking
146,"This clause prohibits forcing someone to work against their will under threat, coercion, or without legal justification — covering bonded labour and forced servitude.","Punishable with imprisonment up to 1 year or with fine or both, depending on the extent of compulsion.","Bailable as this offence is considered comparatively less severe than kidnapping or trafficking, and usually investigated further before trial.",Cognizable since the state must intervene promptly when someone is being exploited in real-time through forced labour.,Forced Labour / Human Rights Offence
147,"This clause punishes any person who wages war or attempts to do so, or abets it, against the Government of India. Waging war refers to armed rebellion, insurgency, or any large-scale violent uprising.",Punishable with death or life imprisonment and fine due to the threat it poses to national sovereignty and public order.,Non-bailable because the offence strikes at the very core of national security; bail is denied to prevent further threats.,Cognizable since police and military must act immediately to prevent escalation or apprehend conspirators.,Offences Against the State
148,Covers conspiracy to wage war against the Government even if war has not actually begun. Mere planning can lead to liability.,"Punishable with life imprisonment or up to 10 years and fine, due to the serious intent to destabilize the state.",Non-bailable as conspirators may pose an ongoing risk; courts examine national interest before considering bail.,Cognizable as proactive intervention is necessary even at the planning stage to prevent national disruption.,Offences Against the State
149,"Deals with individuals who gather weapons, men, or supplies to wage war, even if they haven’t acted yet.",Punishable with life imprisonment or up to 10 years and fine because gathering arms is a preparatory step toward rebellion.,Non-bailable because accumulation of arms suggests imminent danger; preventive custody is often required.,Cognizable since quick police action can avert actual rebellion or armed confrontation.,Offences Against the State
150,"Punishes those who hide plans, information, or people to help others wage war against the government.","Punishable with up to 10 years imprisonment and fine, as concealment indirectly supports treasonous activity.","Non-bailable because the accused may have key information or links with larger networks, and bail could compromise national interest.",Cognizable as delayed investigation could let key players escape or destroy evidence.,Offences Against the State
151,"If someone assaults or uses force against high officials like the President or Governor to influence their lawful functions, it is a grave offence.","Punishable with up to 7 years imprisonment and fine, based on the dignity and authority of the constitutional office.",Non-bailable because it targets institutions of democracy; bail is denied until intent and risk are fully assessed.,Cognizable as immediate police action is necessary to protect high officials and the democratic process.,Offences Against the State / Public Servant
152,"Covers speech, writing, or actions that promote secession, rebellion, or undermine India’s unity or sovereignty.","Punishable with life imprisonment or up to 7 years and fine, depending on the gravity of act and reach of influence.","Non-bailable since these acts incite unrest or violence across states or communities, and release may trigger repeat acts.",Cognizable because police must immediately contain damage caused by anti-national elements.,Offences Against the State
153,This clause punishes Indians or anyone in India waging war against a friendly foreign government.,Punishable with life imprisonment or up to 7 years and fine to maintain international peace and treaty obligations.,"Non-bailable as it risks international relations and may involve arms, funding, or organized groups.",Cognizable since the government must act fast to avoid diplomatic incidents or prevent foreign retaliation.,Offences Affecting Foreign Relations
154,Refers to raiding or looting property in foreign countries that are friendly with India. Even private acts are criminalized.,"Punishable with imprisonment up to 7 years and fine, ensuring India doesn’t become a base for global lawlessness.",Non-bailable as such acts endanger diplomatic ties and create tension between nations.,Cognizable because swift intervention is needed to investigate foreign-linked activities and their funding.,Offences Affecting Foreign Relations
155,Those who accept or deal in property looted during unlawful acts covered in the previous two clauses are punishable.,Punishable with up to 7 years imprisonment and fine as they benefit from international crimes and perpetuate them.,"Bailable in some cases, especially if the accused proves lack of knowledge; otherwise non-bailable if proven complicit.",Cognizable because tracing such property involves fast action to recover stolen goods and cut funding sources.,Offences Affecting Foreign Relations
156,A government official who knowingly lets such a prisoner escape betrays public trust and state security.,Punishable with life imprisonment or up to 10 years and fine as it compromises law enforcement and public safety.,Non-bailable because the accused holds official power and might interfere with evidence or commit further misuse.,Cognizable as immediate arrest is necessary to prevent flight of national enemies or war criminals.,Offences by Public Servants
157,"In contrast to Clause 156, this addresses cases where escape happens due to carelessness rather than intent.",Punishable with imprisonment up to 3 years and fine because it still endangers security but lacks malice.,"Bailable since it results from negligence, not willful betrayal; bail is generally allowed with supervisory warning.","Cognizable because the consequences of escape can be severe, even if unintentional.",Offences by Public Servants
158,"This clause punishes civilians or other actors who help a state or war prisoner escape, hide them, or resist their capture.",Punishable with up to 10 years imprisonment and fine depending on level of involvement and success of the escape.,Non-bailable because helping a prisoner of war or a state prisoner is considered a threat to internal security.,Cognizable as quick apprehension is required to recover the prisoner and dismantle any supporting network.,Offences Against the State / Aiding Escape
159,"Encouraging or trying to persuade any member of the armed forces to disobey their duty, disloyalty, or rebellion is criminalized under this clause.",Punishable with life imprisonment or up to 10 years and fine due to the grave danger it poses to national security and discipline in the armed forces.,Non-bailable since the offence strikes at the discipline of military institutions and risks national safety.,Cognizable because the authorities must take immediate action to prevent unrest or coordinated mutiny.,Offences Relating to Armed Forces
160,"If mutiny actually occurs due to someone’s instigation, the offence becomes even more serious.",Punishable with death or life imprisonment and fine as it directly leads to loss of control in armed forces and threatens national defence.,"Non-bailable due to the involvement in the execution of mutiny, which is considered equivalent to armed rebellion.",Cognizable because swift detention is required to prevent spread of mutiny or involvement of other personnel.,Offences Relating to Armed Forces
161,"If anyone provokes or encourages an armed force member to assault their senior while the officer is performing duties, it falls under this clause.",Punishable with imprisonment up to 7 years and fine because it disrupts command and undermines military discipline.,Non-bailable as this offence disturbs the military hierarchy and discipline necessary for combat readiness.,"Cognizable since the act can escalate quickly into mutiny or insubordination, requiring immediate intervention.",Offences Relating to Armed Forces
162,"If the abetted assault actually occurs, the punishment becomes more severe under this clause.",Punishable with up to 10 years imprisonment and fine due to the actual breach of discipline and potential injuries involved.,"Non-bailable because the assault, once committed, represents a serious breakdown of order in the armed forces.",Cognizable as immediate police or military intervention is necessary to stop further harm and secure command.,Offences Relating to Armed Forces
163,This clause punishes anyone who encourages or helps a military person to illegally leave their post or service.,"Punishable with up to 2 years imprisonment and fine as it undermines troop strength and readiness, though not as serious as mutiny.",Bailable because the gravity is relatively less than mutiny or armed assault; courts may grant bail unless there's repeat offence.,"Cognizable as prompt action is needed to track and apprehend deserters, especially during active duty periods.",Offences Relating to Armed Forces
