BNS Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
26,Act done with consent for someone's benefit,"I gave him medicine with his permission, now he is sick","He asked me to help, now they blame me","I tried to save the child, but he got injured","I did it to help, not to harm","He told me to clean the wound, I did","It was for his benefit, I didn’t mean harm","Neighbor asked for help, I did and he got hurt","I didn’t do anything wrong, he allowed it","I helped him with pain, now they filed complaint","I’m not a doctor, but I helped him"
27,Act done in good faith for child/unsound mind with guardian’s consent,Parents told me to give injection,"His father asked me to keep him safe, so I did",Mother asked me to help with the child’s fever,"I was just helping the mad boy, now people blame me","His guardian asked for help, I tried my best","They asked me to treat him, so I did","I gave him water, his family told me to","I helped him when he was lost, they now say I kidnapped","They said keep the boy, now they say I did wrong",I did what the guardian told me to do
28,Consent under fear or misunderstanding,He scared me and I said yes,I agreed because I was afraid,Police forced me to sign it,I was surrounded so I said okay,"He threatened to kill me, so I agreed","They told me I’ll go to jail, so I obeyed","I did it in fear, now I am blamed",They took my video by force,I said yes because I was scared,I agreed because I was tricked
29,Excludes acts not harmful or criminal by nature,"Phone broke by mistake, I didn’t steal","He thought I took his thing, but it fell itself",Knife was in my hand but I didn’t hurt him,"He thought I came to fight, but I didn’t",He slipped and blames me for pushing,"I was standing nearby, but did nothing","I was near the door, he thinks I locked him",His phone broke but I didn’t even touch it,I was in the place but didn’t do anything,He thinks I did it because I was near
30,Act done in good faith without consent,"He was fainted, I took him to hospital","He couldn’t speak, so I helped him","I gave him water, he was almost dying",I moved him away from danger,I gave him an injection to save him,I broke the thing because it could explode,I removed him from the crowd without asking,I helped the child without asking anyone,He needed help but couldn’t ask,"There was no time, so I helped him"
31,Communication made in good faith,"I told the village head about the fight happening between two families, now they are angry with me","I informed the police about my neighbor storing liquor, but now the whole mohalla is blaming me","I only passed the message that someone’s child was missing, now they say I spread rumors","I shared with his family that he goes out at night, now he’s threatening me","I informed the teacher about the boy carrying a blade, I thought it was serious","I told the panchayat that the well water might be dirty, they now blame me for fear","I just informed them about my doubts, didn’t mean to insult anyone","I called the helpline to report noise from their house, they now think I did it to trap them","I told someone’s relative that he drinks a lot, only for their good","I only said what I saw, didn't know it would cause trouble"
32,Act done under threat,They threatened to burn my crops if I don’t give false statement,"I was made to sign the paper at knife-point, now the police are asking questions","They told me if I don’t help them hide, they’ll hurt my son","I did not want to lie in court, but the gang warned me","I paid money to them out of fear, now they call me part of crime","I was scared they would beat my old parents, so I agreed",They forced me to keep stolen things at my home,They made me bring kerosene saying they'll beat me if I don’t,I followed orders from the man with a pistol pointed at me,"I didn’t want to fight, but they forced me to stand with them"
33,Slight harm not punishable,"I gently pushed him aside while walking, but he tripped and now he filed a case","I tapped him with stick to warn him not to enter my land, he’s saying I assaulted","I caught his hand to stop him from breaking pot, now he’s claiming injury","I shouted and scolded my worker for coming drunk, he says it’s insult","I sprinkled water on the man who was shouting abuses, he got angry and complained","I slapped my son for stealing, now his uncle says I’m abusive","During Holi I smeared color on his face, he says it hurt his eye","I blocked his way on the street for a minute, he made it a big issue","I raised my voice in anger but didn’t touch him, yet he called police","I scolded him to leave my cow alone, he says it’s mental harassment"
45,Abetment of a thing,"I told my cousin to go and ask for his money back, now he got into a fight and they blame me","I said scare the man who is troubling our sister, but he beat him badly","I suggested filing a complaint, but he broke the door instead","I told him to talk, not to hit anyone","I said don’t leave him alone, now they say I made him commit the act","I advised him to confront the thief, not burn his cart","I only gave him the idea to warn them, didn’t say harm them","I told him to threaten using words, not weapons","I shared what I would do in his place, didn’t say he must do it","I only discussed possibilities, he acted on his own understanding"
46,Abettor,"I was standing nearby but didn’t help him do anything, now they say I was part of it","He beat the shopkeeper, and just because I was with him, they think I helped","I didn’t give any support, I was just there","I didn’t stop him but I didn’t join him either, now I’m blamed","I didn’t say anything, just watched — is that a crime?","He planned the theft, I was not even aware","I was not at the scene, still they named me with him",Just because he’s my friend doesn’t mean I did what he did,"I wasn’t even near, but they say I helped him escape","I said nothing and did nothing, still police came to my door"
47,Abetment in India of offences outside India,"I gave address of a person in Dubai to my friend, now he says he used it for crime","I sent money thinking it was for work, but it went abroad and now police are asking","I helped with visa, now they say he committed fraud in another country","I gave contact number to help my cousin, didn’t know he’s part of something illegal","He asked me to connect him to someone in Nepal, I didn’t know about the plan","I printed documents for someone going to Singapore, didn’t know he’d misuse it","I was asked to send goods, didn’t know he’d commit crime outside","He said he needs help sending gifts, now it's part of police case","I shared an address in UAE for help, not for any wrong purpose","They say I’m involved, but I didn’t even leave the country"
48,Abetment outside India for offence in India,He called from Canada and told me to spread fake papers here,"My brother from UAE told me to keep a bag, now they say it had drugs",I got a call from USA telling me to attack a man — I was scared but now arrested,"He asked me to threaten a person here, I didn’t know it was criminal","I only followed what he said from abroad, didn’t plan anything","He told me online to take revenge, I did but now police say he’s safe and I’m guilty","I did it on his message from Dubai, didn’t know it would become a case","He was giving full instructions from outside, I just followed blindly","They used my SIM while sitting outside India, now I’m caught","He gave me money from abroad to do this, I thought it was just a prank"
49,Abetment where act is done but no punishment law specified,"I told my friend to prank call someone, now he got hurt and I’m blamed","He acted after I said something, but there’s no clear law about this","I advised him for self-protection, not knowing it’d turn serious","He used my words and did something bad, but law doesn’t clearly punish it","I said don’t stay quiet, show anger — now he threw stone and I’m caught","I pushed him to take action, didn’t expect this result","There was no plan, just talk, he did what he thought fit","I said complain loudly, but he attacked — and now they say I abetted","Law didn’t clearly say it’s illegal, but I’m still blamed","I gave him courage to fight back, not weapons"
50,Abetment where act done is different from intent,"I told him to go scold, but he slapped the man","I said just take the bike back, but he damaged the shop","I only said ask for apology, he burned the bag","I said scare the dog owner, not stab the dog","I asked him to tell truth, but he insulted everyone","I told him to demand salary, he fought the boss","I told him to stop the man, not to punch him","He did something I didn’t tell, but still I’m blamed","I said take your land back, he broke the wall",He misunderstood me and now I’m in trouble
51,Abettor liable when different act is done,"I told him to scare the man, but he hit him badly","I said just block the gate, he lit fire instead","I asked him to slap once, but he used a stick","I said take the bike back, but he damaged the whole shop","I meant for him to warn, but he insulted the woman",He misinterpreted me and did something worse,"I told him to do one thing, he ended up doing something else","I didn’t ask him to hurt anyone, only to create pressure","I asked him to stop them, not to destroy anything","I said show strength, not use violence"
52,Cumulative punishment for both abetment and actual act,"I told him to slap once, he broke the person’s hand","I gave him support, now he and I both are in trouble","They say I planned with him and he executed it, now we’re both charged","He followed my instructions, now they say both of us will be punished",I didn’t stop him from doing wrong after I said the first part,"He acted wrongly, but I had encouraged it, so now I’m guilty too","Police say because I was with him from start, I’ll be punished too",I told him to scare the shopkeeper and he broke things — now both of us are blamed,"I gave him the idea, now he executed it and we both are caught","I said act strong, he took it as violence, and now we both are in jail"
53,Abettor liable if different effect than intended happens,"I said throw water to scare, but someone slipped and got injured","He lit match to threaten, fire spread to a house","I told him to block road, now an ambulance got delayed and someone died","I didn’t mean this to happen, he caused a big problem","I said make noise, but it caused stampede","He was only supposed to yell, not hurt — now someone’s injured","He threw brick to scare, but it hit an old man","I said write on wall, but it caused a big protest","I told him to push him away, but he fell and got head injury","I meant something else, but damage happened beyond intention"
54,Abettor present when offence is committed,"I was standing with him when he hit the man, now they say I’m guilty too",I didn’t stop him when he started breaking things,"I was just there, didn’t stop or help","I didn’t touch anyone, but was present — still being blamed","I was afraid to interfere, now police say I was involved","He asked me to watch, now they say I’m also responsible",I stood outside while he was threatening them,He stole from shop while I was on road — now both arrested,"I went with him to talk, he suddenly attacked — now I’m in trouble too","I didn’t know he was going to fight, I was just standing nearby"
55,Abetment of offence punishable with death or life imprisonment,"I told him to confront, now he killed someone — they say I supported","I didn’t know it will go this far — now he’s facing hanging, and I’m too","I gave him a weapon just for threat, he used it to murder","Police say since I encouraged him, I’ll also get harsh punishment","I was part of his plan, didn’t know it meant death for someone","He committed murder, they say I planned it too","I helped him reach the place, didn’t know he’ll kill","I said take revenge, didn’t expect he’d stab him","I said don’t spare him, and now he’s dead — I’m being blamed","I was involved in discussions, now they say it was abetment for murder"
56,Abetment of offence punishable with imprisonment,"I told him to teach a lesson, now he’s in jail and I’m caught too","I was part of small act, but he’s in jail and now I’m also charged",Police say my words led him to do something that caused jail term,"I helped him write complaint, now they say it’s fake and we both are guilty","I told him to lie in court, now it’s perjury and I’m included","He took my suggestion to break lock, now he’s arrested — and I’m also blamed","I said take it forcefully, now it’s theft and I’m in the case","I helped hide items after he stole them, now it’s abetment","I told him to beat up the man who insulted him, now case is on both","I gave him tools to break the shop shutter, didn’t know it’ll go this far"
57,Abetting crime by public or large group,I shouted “let’s teach him a lesson” and people beat him up,"I said we should all go and protest, it turned violent","I said let’s surround his house, now it’s turned into mob case",I encouraged villagers to stop the water — now it’s vandalism,"I called people for justice, but fight broke out — now they blame me","I said don’t leave them, do something — crowd attacked them",I helped organize the mob thinking it was peaceful,"I said “don’t spare them”, now group hurt someone badly","My voice spread anger in the group, now they say I’m guilty",I gave fuel to crowd to light fire — now it’s a case
58,Concealing plan to commit crime punishable by death/life,"I knew he was planning to kill, but I kept quiet","My friend told me about the attack, I didn’t report","I overheard men talking about murder, I didn’t inform police","I thought he was just joking about killing, now it happened",I didn’t take it seriously when he said he’ll burn the house,"I saw weapon in his bag, still I said nothing","I knew he was following her for days, now she’s dead","He told me something’s going to happen at night, I didn’t warn anyone","I knew he was angry enough to kill, but I stayed silent",I hid the truth thinking he won’t actually do it
59,Public servant concealing such design,"I’m a local patwari, I heard of a murder plan but didn’t report",I got information during duty but ignored it,"As a government staff, I didn’t act on the threat letter","I was told about gang planning violence, but I said nothing",I kept the secret thinking it won’t happen,"My official position gave me access, but I ignored it","People told me about the attacker, I didn’t inform police","I thought it's village matter, not my job","I feared losing job, so I didn’t file the report","I didn’t want to get involved in police matter, now it’s gone wrong"
60,Concealing design to commit imprisonable offence,"I knew about plan to rob the shop, but I stayed quiet","I saw them with weapons, didn’t tell anyone",He said he’ll attack at night — I thought he won’t,"I heard about chain snatching plan, didn’t act","I knew they’ll cheat old woman, but I didn’t warn her",I saw stolen items but didn’t report,I was told about fake notes being printed — I didn’t speak up,I helped him hide after knowing he was going to do wrong,I found out about theft before it happened but hid it,"I didn’t want trouble, so I stayed quiet about the crime"
61,Criminal Conspiracy,Some people in village were planning something wrong in secret,I saw a group whispering about attacking sarpanch,He told me to join their plan to destroy a shop,I heard they’re plotting to hurt someone in next festival,The group said let’s teach him a lesson together,They made a hidden plan to steal cattle from barn,There was a secret meeting in the field at night,"They said “don’t tell police, we’ll handle him our way”",I got a message to join for revenge action,I didn’t go but they all planned to burn crops
62,Attempt to commit offence,He tried to kill me but villagers saved me,He lit fire near my house but someone saw in time,He tried to stab my son but police came,I caught him putting poison in food,He ran toward me with axe but slipped,He was trying to enter my house forcefully at night,He aimed gun at me but didn’t shoot,He threw acid but missed me,I saw him putting knife under my bed,He climbed the roof with rope and knife
63,Rape,He forcefully did wrong with my daughter,I said no but he forced himself on me,He pulled me into the room and raped,He did dirty act without my consent,He covered my mouth and hurt me,He forced me while I was alone at home,"I shouted but no one came, he raped me",He did wrong with me in the jungle,He blackmailed me and raped,He threatened me with a weapon and did that act
64,Punishment for rape,I want strong punishment for the man who raped me,He should go to jail for what he did,Will he get 10 years jail for this rape?,Police said he’ll be punished strictly,The man who raped is now in lock-up,Court gave him long prison for rape,They say he’ll never come out of jail,"He raped a minor, what will be punishment?",Is there hanging for rapists in such case?,"They say even if it’s first time, he’ll go to jail"
65,Rape in special circumstances,"He was a policeman, and raped in custody","My daughter was minor, still he did wrong",A doctor did bad with girl during treatment,He raped while being teacher of the school,He was uncle but raped when parents not home,A ward boy did this in hospital to patient,He forced himself using his position,He raped while girl was mentally ill,He did rape when girl was helpless due to injury,He pretended to help and did such act
66,Rape causing death or coma,He raped and the girl died same night,"After rape, she’s in coma for weeks",She never spoke after that night,He beat her during rape and she didn’t survive,She was unconscious when we found her,Doctor said she has brain damage from injuries,He raped her and she died due to bleeding,"After rape, she never opened her eyes",He burnt her after doing that act,Now she can’t move or talk because of him
67,Marital rape during separation,"We live separately, but he came and forced me","He’s my husband, but I filed case and he still forced","We were in dispute, and he did wrong during this time","Court gave separation, but he did bad act","We don’t stay together, but he entered my house and raped",He took advantage saying “you’re still my wife”,I was living at my parent’s house when he did this,"Even after case, he comes and uses force","He acts like nothing is wrong, but forces himself",He broke door and forced himself despite being separated
68,Rape by authority figure,My landlord raped me by threatening to throw us out,A police man did this in station to my sister,He was teacher and raped student,He was doctor and did wrong during checkup,Government officer promised job and raped,Village head forced my wife during visit,He said he’ll help in pension but asked for this,He raped saying he’ll cancel our ration card,He used power to do bad things,"He said “I am officer, you must listen” and forced"
69,Rape using deceit,"He said he’ll marry me, then did wrong and left",He made fake promise of marriage and raped,"He gave fake name and lied, then did bad act",He told me he loved me and forced himself,"He came as a groom, stayed one night and left",He acted like a husband and used me,"He said we are married in God’s eyes, then raped",He used fake identity and ran away,He said he’ll help get job and raped,He lied that he was single and forced himself
70,Offences Against Women,I was raped by three men near the forest path,They dragged me in a group and all of them did wrong to me,A gang of men surrounded and forced themselves on me,They took me in a tractor and raped me one after another,Five boys caught and raped me during the village fair,I was alone and they all forced me behind the temple,I was kidnapped and gang raped while returning from market,A group of men raped me and left me unconscious,Many people hurt and violated me near the riverbank,They all did the bad act together while recording a video
71,Offences Against Women,The same man raped before and did it again,He was already jailed for rape but did it again,He raped someone before and now me too,I heard this is not his first time doing this,The repeat offender hurt another girl again,He got out and raped another woman,He has done this multiple times,He is known in the village for such things,A repeat rape case was reported in nearby area,He raped after release from earlier case
72,Offences Against Women,My name got leaked after the rape case,Everyone in village came to know I was raped,They shared victim's name on WhatsApp,The media exposed her name and picture,Someone told others about my sister’s rape,My identity should have been kept secret,They posted about her case online,Police spoke my name in front of everyone,I heard name of girl victim on radio,Her name was written on village wall
73,Offences Against Women,Court case details were printed in paper,Local paper wrote all things about court hearing,My friend’s case was shared before court’s order,They showed court discussion on news,Someone posted hearing info online,Our family felt shame after details got printed,They leaked what judge said in hearing,Private matter was published without permission,The news channel told everything before decision,I read court rape case discussion on WhatsApp
74,Offences Against Women,He tried to touch me in wrong way,He came close and did wrong things to insult me,He pushed and tried to tear my clothes,He touched me without consent in crowd,He misbehaved with my wife in market,He caught me from behind and laughed,He used force in a wrong way on me,He followed and grabbed me with bad intention,He misused chance and insulted me by touch,He attacked me to insult my modesty
75,Offences Against Women,He stared at me and made me uncomfortable,He made vulgar signs while I walked past,He passed dirty comments at me daily,He whistled and followed me everywhere,He made sexual gestures in front of my daughter,He asked for dirty things on phone,He used phone camera without permission,He tried to touch me while making jokes,He said bad words with sexual meaning,He troubled me every time I go to market
76,Offences Against Women,He tore my saree in public,He tried to remove my dupatta forcefully,He dragged me and tried to disrobe me,My daughter was attacked and clothes torn,He caught her in street and pulled her dress,They surrounded and tried to strip me,He did this to insult me in front of all,He tried to remove my clothes during festival,He forced my dress to come off in crowd,He insulted me by removing part of my clothes
77,Offences Against Women,He took photo when I was changing,He recorded me secretly in bathroom,He watched me from hole in wall,He peeped through window while I was inside,He followed me and recorded under dress,He put camera in girl’s washroom,He keeps spying when girls change,He made hidden video of my sister,He watched me without clothes secretly,He shared private video without knowing
78,Offences Against Women,He followed me daily despite saying no,He came behind everywhere I go,He kept calling and texting bad messages,He always waits near my house,He stalked me after I rejected him,He harassed me by chasing all day,He sends fake love letters again and again,He stood near school every day staring,He scared me by following even to toilet,He troubled me by always following silently
79,Offences Against Women,He said bad words to insult my modesty,He used filthy gestures in front of girls,He said things that made me feel shame,He used dirty jokes to target me,He insulted me by pointing fingers and laughing,He said double meaning words,He shouted cheap things at me in street,He acted as if teasing with vulgar signs,He passed remarks to embarrass me,He sang songs to insult me in public
80,Offences Against Women (Marriage Related),She was burnt for dowry after marriage,He demanded more dowry and beat her,My sister died due to dowry torture,They killed her saying dowry was less,She kept complaining about in-laws asking money,She was harassed for not bringing fridge,They burned her alive for gold,She told us about regular dowry demands,They poisoned her for not getting car,Dowry pressure killed her after marriage
81,Offences Relating to Marriage,He lied and made her believe she was legally married,He acted like husband and started living with her,"He stayed with her saying ""you are my wife""",He tricked her into thinking they’re married,He said they had a temple marriage to live with her,He told her family they are already married,He used marriage lie to sleep with her,She thought it was legal marriage but it was a lie,He stayed with her saying they are already married,She agreed to live thinking they were married
82,Offences Relating to Marriage,He married again while his first wife is alive,"He has two wives, first one doesn’t know",He didn’t tell he was already married,He married my daughter while still having another wife,His first wife came crying that he remarried,He cheated by doing second marriage secretly,"He is already married, but married again","He didn’t get divorce, still did second marriage",He married second time without telling the truth,"He said first wife is dead, but she is alive"
83,Offences Relating to Marriage,He did fake marriage ceremony without being legally married,He called priest and faked rituals,He dressed as groom and did false marriage for fun,"He married just to cheat her, not legal",He fooled her family with fake wedding setup,It wasn’t real marriage but he made everyone believe,"He called people, showed wedding, but never registered","No documents, just ceremony for appearance",He used that fake marriage to stay with her,"It was not real marriage, just acting"
84,Offences Relating to Marriage,He kidnapped a married woman and kept her hidden,He took my wife away secretly,He forced her to run away and kept her in another village,He detained my daughter-in-law without letting her contact us,He had criminal intention and took a married woman,He kept her hidden for days from her family,He locked her in his house without her wish,He took a married woman away and threatened her,He convinced her to leave her husband and stay,He abducted her and no one knew for days
85,Offences Relating to Marriage,My daughter is being beaten by her husband,He and his family torture her every day,They harass her for money and beat her,He hit her and didn’t give food,She called us crying about husband’s behavior,They insult and abuse her daily,She’s facing cruelty in her in-laws house,She gets beaten for small things,He kicks her out in cold nights,Her in-laws force her to bring more dowry
87,Offences Against Women,He kidnapped and forced her to marry,She was abducted and forced into marriage,He tricked her into marriage without consent,He blackmailed her to get married,He made her believe something wrong to marry her,She was taken away and forcibly married,She was kidnapped and married at knife-point,He and his family forced her to marry,He made fake documents for marriage,He lied about identity and married her by force
88,Offences Against Women,He gave medicine and caused miscarriage,He hit her in stomach to kill baby,He gave her something to drink and she lost baby,He pushed her and she started bleeding,He got tablet from someone to cause abortion,She was pregnant and he made her fall intentionally,He kicked her during pregnancy,He told her to take pills to remove baby,He tricked her with herbal thing and baby gone,He made her work hard to cause miscarriage
89,Offences Against Women,He did abortion without her knowing,She was pregnant but he took her to doctor secretly,He lied about treatment and did abortion,He gave injection and baby gone without telling,He forced her into abortion against her wish,She didn’t know he arranged abortion,She cried that baby was removed without consent,He cheated and did abortion procedure,He gave medicine without her knowing,He took her for check-up but removed child
90,Offences Against Women,She died after trying to abort child,He hit her to cause abortion and she died,She bled to death during forced abortion,He took her to illegal clinic and she died,She fell after beating and never got up,He used local medicine that killed her,After abortion she didn’t survive,She screamed in pain and died after abortion,He left her after abortion and she died alone,She wasn’t taken to doctor in time and died
91,Offences Against Women (Pregnancy/Childbirth),He hit her stomach to stop the baby from being born,He gave her something to make the baby die after birth,He didn’t want the child and made her drink local medicine,She was pregnant but he wanted to kill the baby,He attacked her just before delivery,He didn’t take her to hospital to save child,He caused her to lose the baby after it was born,He mixed something to stop baby breathing,He punched her when she was giving birth,He used force to stop baby from surviving
92,Offences Against Women (Pregnancy/Childbirth),He caused death of unborn child in womb,He attacked and baby died before birth,The baby died in stomach after he hit her,She was hurt badly and the child didn’t survive,He used sharp object and caused unborn baby to die,He beat her until she fell and lost the baby,He threw her on ground when she was pregnant,She cried and said baby is not moving after attack,Her baby died after he kicked her,Baby’s heartbeat stopped after violence
93,Offences Against Child,She left newborn in field and went away,He abandoned child under a tree alone,Parents threw the child behind house,Small baby found crying in garbage dump,They left infant without care near temple,She ran away after giving birth and left baby,Newborn was found without clothes in cold,They didn’t feed the baby for two days,Neighbours found baby abandoned in sack,She hid the baby in cow shed and ran
94,Offences Against Child,They secretly buried baby after birth,She delivered and hid the baby’s dead body,They didn’t tell anyone and buried the child,Newborn was found buried behind house,He dug ground to dispose child secretly,Baby born and died but no one informed police,They threw newborn body in river,Infant was born and vanished next day,They hid delivery and body together,No one was told about baby’s death
95,Offences Against Child,He gave stick and told child to beat others,They made children do bad acts,He made child burn someone’s hut,He gave child a knife to steal,They sent child to hurt someone,He trained child to do crimes,He used children for wrong tasks,He told minor to scare others,They used kid to throw stone at police,He kept boy to do risky work like setting fire
96,Offences Against Child,He brought young girl for wrong work,He brought child from another village for job but abused her,He promised work and brought girl to city,He lured girl and sold her for money,They brought child for servant work and locked her,Child was taken by agent and not returned,She was made to do bad work in city house,He took child on pretext of job and misused,Small girl made to work without rest or pay,He took orphan girl and no one knows her now
97,Offences Against Child,He kidnapped boy and removed chain from his neck,He took child to steal things from him,He abducted child and took gold from pocket,He lured child and stole his phone,He dragged boy and took money,Child was found far without shirt or belongings,He ran away after stealing child’s things,Girl was taken and all her valuables gone,He fooled child and took ring,Child’s pockets were emptied after abduction
98,Offences Against Child,He sold girl for sexual work,He gave girl to bad people for money,He sent minor girl to city for prostitution,He forced child into bad work for income,He got money by selling child to brothel,Girl was taken and made to do wrong acts,He handed her to wrong people for cash,She was sold in red-light area,He used child for dirty business,Child was locked in room and abused
99,Offences Against Child,He bought child to use for wrong purposes,He paid to get minor girl for sexual things,He gave money and took child home,Child was bought like property,He purchased boy for illegal use,He used money to get a minor girl,He paid people to get child from another place,He bought small girl from her poor parents,He gave cash and took child for work but misused,He bought girl and locked her in dark room
100,Offences Against Life,He beat my brother and he died,He hit uncle with stick and he died later,He pushed someone from roof and killed,Man was killed with axe after fight,He hit him badly and he died next morning,He used brick to hit head and caused death,He stabbed in chest during argument,He killed after hitting repeatedly,He didn’t stop beating till person stopped breathing,He killed my cousin by pouring acid
101,Murder,"A man from the village shot my father in the chest over a land dispute, he died on the spot.",My brother was returning from the temple when he was attacked with swords by five men and died.,The neighbor poisoned my food and my wife ate it by mistake; she passed away.,Someone set fire to our house while my uncle was inside — he couldn't get out in time.,My cousin was hit repeatedly on the head with a stick and he died the next morning.,The man came with a group and beat my husband till he stopped breathing.,They dragged my son into their house and killed him behind closed doors.,My friend was stabbed in the chest during a small fight at the market.,"He used to threaten us often, this time he actually killed my brother.","He said ""I will finish you,"" and shot my uncle dead in front of everyone."
102,Culpable Homicide (Different Victim),They meant to kill my brother but by mistake stabbed his cousin to death.,"During a fight, they hit a bystander so hard that he died, he wasn’t even involved.",A mob came to attack our neighbor but beat my father to death thinking it was him.,"Someone else was their target, but they ended up killing my innocent uncle.",The attacker swung a stick at someone else but hit me — I lost my son because of it.,"They thought my friend was the man who insulted them, and killed him by mistake.",My husband got in the way to stop a fight and was killed instead of the real target.,The man fired a gun in anger and the bullet hit the wrong person — he died.,"It was my cousin they wanted revenge on, but my elder brother paid the price.","I tried to intervene and stop them, but they struck me and my nephew died instead."
103,Punishment for Murder,The man who killed my sister was given life imprisonment by the judge.,"After finding all the evidence, the court sentenced the murderer to death.",My husband’s killer was caught and he is now in jail for the rest of his life.,The killer was arrested quickly and sentenced within a few months to life.,They killed a child in cold blood and now they are going to be hanged.,The judge said the man has no right to live freely after taking someone’s life.,"After hearing what he did, the court refused to grant bail and gave strict punishment.",The police gave enough proof and the killer got the maximum punishment.,"He showed no remorse after the murder, so the court gave him harsh sentencing.","The court said “life for life,” and gave a strong judgment in my sister’s case."
